"DataValue","LocalDateTime","UTCOffset","DateTimeUTC","SiteCode","VariableCode","MethodCode","SourceCode","QualityControlLevelCode"
21.306,"2006-08-18 09:00:00",-6,"2006-08-18 03:00:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
21.143,"2006-08-18 09:15:00",-6,"2006-08-18 03:15:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
22.007,"2006-08-18 09:30:00",-6,"2006-08-18 03:30:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
22.176,"2006-08-18 09:45:00",-6,"2006-08-18 03:45:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
22.684,"2006-08-18 10:00:00",-6,"2006-08-18 04:00:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
22.656,"2006-08-18 10:15:00",-6,"2006-08-18 04:15:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
23.132,"2006-08-18 10:30:00",-6,"2006-08-18 04:30:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
23.748,"2006-08-18 10:45:00",-6,"2006-08-18 04:45:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
23.6,"2006-08-18 11:00:00",-6,"2006-08-18 05:00:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
23.255,"2006-08-18 11:15:00",-6,"2006-08-18 05:15:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
24.242,"2006-08-18 11:30:00",-6,"2006-08-18 05:30:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
23.89,"2006-08-18 11:45:00",-6,"2006-08-18 05:45:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
24.256,"2006-08-18 12:00:00",-6,"2006-08-18 06:00:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
23.868,"2006-08-18 12:15:00",-6,"2006-08-18 06:15:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
25.117,"2006-08-18 12:30:00",-6,"2006-08-18 06:30:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
24.59,"2006-08-18 12:45:00",-6,"2006-08-18 06:45:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
24.11,"2006-08-18 13:00:00",-6,"2006-08-18 07:00:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
24.925,"2006-08-18 13:15:00",-6,"2006-08-18 07:15:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
25.093,"2006-08-18 13:30:00",-6,"2006-08-18 07:30:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
25.799,"2006-08-18 13:45:00",-6,"2006-08-18 07:45:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
25.788,"2006-08-18 14:00:00",-6,"2006-08-18 08:00:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
24.658,"2006-08-18 14:15:00",-6,"2006-08-18 08:15:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
24.928,"2006-08-18 14:30:00",-6,"2006-08-18 08:30:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
24.633,"2006-08-18 14:45:00",-6,"2006-08-18 08:45:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
24.901,"2006-08-18 15:00:00",-6,"2006-08-18 09:00:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
25.59,"2006-08-18 15:15:00",-6,"2006-08-18 09:15:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
25.524,"2006-08-18 15:30:00",-6,"2006-08-18 09:30:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
24.453,"2006-08-18 15:45:00",-6,"2006-08-18 09:45:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
24.414,"2006-08-18 16:00:00",-6,"2006-08-18 10:00:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
24.654,"2006-08-18 16:15:00",-6,"2006-08-18 10:15:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
24.591,"2006-08-18 16:30:00",-6,"2006-08-18 10:30:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
24.133,"2006-08-18 16:45:00",-6,"2006-08-18 10:45:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
24.423,"2006-08-18 17:00:00",-6,"2006-08-18 11:00:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
23.881,"2006-08-18 17:15:00",-6,"2006-08-18 11:15:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
23.569,"2006-08-18 17:30:00",-6,"2006-08-18 11:30:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
23.184,"2006-08-18 17:45:00",-6,"2006-08-18 11:45:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
23.024,"2006-08-18 18:00:00",-6,"2006-08-18 12:00:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
22.622,"2006-08-18 18:15:00",-6,"2006-08-18 12:15:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
22.5,"2006-08-18 18:30:00",-6,"2006-08-18 12:30:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
22.161,"2006-08-18 18:45:00",-6,"2006-08-18 12:45:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
21.995,"2006-08-18 19:00:00",-6,"2006-08-18 13:00:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
21.556,"2006-08-18 19:15:00",-6,"2006-08-18 13:15:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
21.707,"2006-08-18 19:30:00",-6,"2006-08-18 13:30:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
21.51,"2006-08-18 19:45:00",-6,"2006-08-18 13:45:00","AP","AirTemp_Max_C","air_temp_sensor","NTL_LTER",1
