"DBCODE","ENTITY","SITECODE","AIRTEMP_METHOD","HEIGHT","QC_LEVEL","PROBE_CODE","DATE_TIME","AIRTEMP_MEAN","AIRTEMP_MEAN_FLAG","EVENT_CODE"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-13 16:00:00",20.4,"A","METHOD"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-13 16:15:00",19.8,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-13 16:30:00",18.8,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-13 16:45:00",18.4,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-13 17:00:00",16.8,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-13 17:15:00",16.4,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-13 17:30:00",16,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-13 17:45:00",15.6,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-13 18:00:00",15.2,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-13 18:15:00",14.7,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-13 18:30:00",14.1,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-13 18:45:00",13.6,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-13 19:00:00",13.3,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-13 19:15:00",13,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-13 19:30:00",12.5,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-13 19:45:00",11.9,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-13 20:00:00",11.4,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-13 20:15:00",11.1,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-13 20:30:00",10.8,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-13 20:45:00",10.4,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-13 21:00:00",10.2,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-13 21:15:00",9.9,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-13 21:30:00",9.7,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-13 21:45:00",9.4,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-13 22:00:00",9.2,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-13 22:15:00",8.9,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-13 22:30:00",8.8,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-13 22:45:00",8.6,"A","NA"
"MS001",11,"PRIMET","AIR023",350,"2A","AIRPRI02","1994-09-13 23:00:00",8.4,"A","NA"
