DataValue,LocalDateTime,UTCOffset,DateTimeUTC,SiteCode,VariableCode,MethodCode,SourceCode,QualityControlLevelCode,QualifierCode
20.4,1994-09-13T16:00:00Z,-8,1994-09-14T00:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
19.8,1994-09-13T16:15:00Z,-8,1994-09-14T00:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
18.8,1994-09-13T16:30:00Z,-8,1994-09-14T00:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
18.4,1994-09-13T16:45:00Z,-8,1994-09-14T00:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
16.8,1994-09-13T17:00:00Z,-8,1994-09-14T01:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
16.4,1994-09-13T17:15:00Z,-8,1994-09-14T01:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
16,1994-09-13T17:30:00Z,-8,1994-09-14T01:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
15.6,1994-09-13T17:45:00Z,-8,1994-09-14T01:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
15.2,1994-09-13T18:00:00Z,-8,1994-09-14T02:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
14.7,1994-09-13T18:15:00Z,-8,1994-09-14T02:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
14.1,1994-09-13T18:30:00Z,-8,1994-09-14T02:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
13.6,1994-09-13T18:45:00Z,-8,1994-09-14T02:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
13.3,1994-09-13T19:00:00Z,-8,1994-09-14T03:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
13,1994-09-13T19:15:00Z,-8,1994-09-14T03:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
12.5,1994-09-13T19:30:00Z,-8,1994-09-14T03:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
11.9,1994-09-13T19:45:00Z,-8,1994-09-14T03:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
11.4,1994-09-13T20:00:00Z,-8,1994-09-14T04:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
11.1,1994-09-13T20:15:00Z,-8,1994-09-14T04:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
10.8,1994-09-13T20:30:00Z,-8,1994-09-14T04:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
10.4,1994-09-13T20:45:00Z,-8,1994-09-14T04:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
10.2,1994-09-13T21:00:00Z,-8,1994-09-14T05:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
9.9,1994-09-13T21:15:00Z,-8,1994-09-14T05:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
9.7,1994-09-13T21:30:00Z,-8,1994-09-14T05:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
9.4,1994-09-13T21:45:00Z,-8,1994-09-14T05:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
9.2,1994-09-13T22:00:00Z,-8,1994-09-14T06:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
8.9,1994-09-13T22:15:00Z,-8,1994-09-14T06:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
