LTER_Site,Station,Date,Daily_AirTemp_Mean_C,Flag_Daily_AirTemp_Mean_C,Daily_AirTemp_AbsMax_C,Flag_Daily_AirTemp_AbsMax_C,Daily_AirTemp_AbsMin_C,Flag_Daily_AirTemp_AbsMin_C,Daily_Precip_Total_mm,Flag_Daily_Precip_Total_mm
FCE,EVERGLADES,19240201,24.2,,26.7,,21.7,,3.6,
FCE,EVERGLADES,19240202,17.25,,21.7,,12.8,,0,
FCE,EVERGLADES,19240203,13.35,,21.1,,5.6,,0,
FCE,EVERGLADES,19240204,17.5,,23.3,,11.7,,0,
FCE,EVERGLADES,19240205,22.25,,25.6,,18.9,,0,
FCE,EVERGLADES,19240206,18.85,,23.3,,14.4,,0,
FCE,EVERGLADES,19240207,16.95,,20,,13.9,,0,
FCE,EVERGLADES,19240208,13.65,,21.7,,5.6,,0,
FCE,EVERGLADES,19240209,14.75,,22.8,,6.7,,0,
FCE,EVERGLADES,19240210,14.7,,24.4,,5,,0,
FCE,EVERGLADES,19240211,16.65,,24.4,,8.9,,0,
FCE,EVERGLADES,19240212,16.9,,24.4,,9.4,,0,
FCE,EVERGLADES,19240213,14.2,,22.8,,5.6,,0,
FCE,EVERGLADES,19240214,15.25,,24.4,,6.1,,0,
FCE,EVERGLADES,19240215,16.1,,26.1,,6.1,,0,
FCE,EVERGLADES,19240216,20.8,,27.2,,14.4,,0,
FCE,EVERGLADES,19240217,19.45,,28.3,,10.6,,0,
FCE,EVERGLADES,19240218,21.95,,26.7,,17.2,,6.1,
FCE,EVERGLADES,19240219,18.9,,26.7,,11.1,,0,
FCE,EVERGLADES,19240220,15.55,,22.8,,8.3,,0,
FCE,EVERGLADES,19240221,18.05,,23.3,,12.8,,0,
FCE,EVERGLADES,19240222,17.2,,24.4,,10,,0,
FCE,EVERGLADES,19240223,18.65,,25.6,,11.7,,0,
FCE,EVERGLADES,19240224,19.45,,25.6,,13.3,,0,
FCE,EVERGLADES,19240225,20.3,,26.7,,13.9,,0,
FCE,EVERGLADES,19240226,20,,26.7,,13.3,,5.6,
FCE,EVERGLADES,19240227,20.25,,22.2,,18.3,,0,
FCE,EVERGLADES,19240228,17.75,,21.1,,14.4,,0,
FCE,EVERGLADES,19240229,14.45,,21.7,,7.2,,0,
FCE,EVERGLADES,19240301,16.1,,22.8,,9.4,,0,
FCE,EVERGLADES,19240302,18.6,,24.4,,12.8,,0,
FCE,EVERGLADES,19240303,-9999,M,-9999,M,-9999,M,0,
FCE,EVERGLADES,19240304,16.4,,25,,7.8,,0,
FCE,EVERGLADES,19240305,16.4,,25.6,,7.2,,0,
FCE,EVERGLADES,19240306,22.25,,25.6,,18.9,,0,
FCE,EVERGLADES,19240307,23.05,,27.2,,18.9,,0,
FCE,EVERGLADES,19240308,19.7,,25,,14.4,,0,
FCE,EVERGLADES,19240309,19.7,,25,,14.4,,0,
FCE,EVERGLADES,19240310,19.7,,25,,14.4,,0,
FCE,EVERGLADES,19240311,16.65,,22.2,,11.1,,0,
FCE,EVERGLADES,19240312,12.8,,20,,5.6,,0,
FCE,EVERGLADES,19240313,12.2,,19.4,,5,,0,
