"descriptor_type_id","descriptor_type_code","descriptor_type_name","descriptor_type_unit","descriptor_type_desc","descriptor_type_length"
1,site_hydro_regime,Hydrologic Regime,,"e.g., perennial/ephemeral; rain/rain-on-snow/snowmelt",m
2,site_publications,Publications,,Publications or References or URL if list is online,l
3,site_ws_url,Site Watershed URL,,URL for the research site's webpage location covering relevant watershed studies,m
4,site_exp_design,Experimental Design,,Experimental design,l
5,site_map_url,Site Map URL,,URL of the research site's webpage location showing a topographic map of the research site and the associated gauged watersheds,m
6,site_clim_url,Site Climate URL,,URL of the research site's webpage location covering relevant climate research,m
7,gs_lat,Latitude,decimal degrees,"Latitude of gauging station in decimal degrees (+/-90 degrees, 4 decimal places)",s
8,gs_long,Longitude,decimal degrees,"Longitude of gauging station in decimal degrees (+/-90 degrees, 4 decimal places)",s
9,gs_elev,Elevation,meters; a.m.s.l.,Elevation of gauging station (meters; a.m.s.l.),s
10,gs_gauged_area,Watershed Area,hectares,Area or watershed captured by gauge (hectares),s
11,gs_begin_date,Begin Date,,Date of establishment of gauging station,s
12,gs_end_date,End Date,,Date of removal of gauging station (enter 'Present' for continuing measurements),s
16,gs_desc,Weir Description,,Physical  structure of the weir,l
17,gs_calibration,Weir Calibration and Modification History,,"Dates of major modifications or recalibrations, include discussion of rating curve development; if documented in site records, give directions to that information",l
18,gs_history,History,,"Gauging station history (e.g., changes in location, structure modification, significant gaps in the record, etc.)",l
19,gs_met_station,Associated meteorological station,,Identify precipitation gauging and ambient air temperature measurement location/name that best represents conditions in the watershed monitored by this gauging station,m
20,gs_url_photo,Photo URL,,URL of the research site's webpage location showing a photograph of the gauging station,m
21,ms_lat,Latitude,decimal degrees,"Latitude of meteorologic station in decimal degrees (+/-90 degrees, 4 decimal places)",s
22,ms_long,Longitude,decimal degrees,"Longitude of meteorologic station in decimal degrees (+/-180 degrees, 4 decimal places)",s
23,ms_desc,Area Description,,"Description of area within 100 meters of meteorologic station (e.g., nearby structures, vegetation, etc.)",l
24,ms_topo,Topography,,"General topographical location of meteorologic station (e.g., valley, on a slope, etc.)",m
25,ms_elev,Elevation,meters; a.m.s.l.,Height of meteorologic station above mean sea level,s
26,ms_surface,Surface,<NULL>,"Surface over which air temperature sensors are placed under non-snow convered conditions (e.g., grass, mineral soil)",m
27,ms_exposure,Exposure,degrees,Angle from horizontal to top of nearest obstruction (from meteorologic station),s
28,ms_wind_exp,Wind Exposure,degrees azimuth,"Direction of prevailing precipitation-bearing winds (from where the wind is blowing; i.e., 360 degrees is blowing from north to south)",s
29,ms_begin_date,Begin Date,,Date of establishment of meteorologic station,s
30,ms_end_date,End Date,,Date of removal of meteorologic station (enter 'Present' for continuing measurements),s
31,ms_history,History,,"Meteorologic station history (e.g., changes in location, growth of nearby vegetation, heat sources such as cabins, known changes to exposure, significant gaps in the record, etc.)",l
32,ms_url_photo,Photo URL,,URL of the research site's webpage location showing a photograph of the meteorologic station,m
33,airt_begin_date,Begin Date,,Beginning date of measurement,s
34,airt_end_date,End Date,,End date of measurement (enter 'Present' for continuing measurements),s
35,airt_log_interval,Data Logger Sampling Interval,,"e.g., 15 second, 1 minute",s
36,airt_summary_int,Summary Interval ,,"finest time step output for data (i.e., 15 minute, hourly, daily)",s
37,airt_data_accuracy,Data Accuracy,degree celsius,"e.g., +/-0.1 degrees C",s
38,airt_inst_ht,Instrument Height,meters,meters above (or below) ground of sensor,s
39,airt_inst_desc,Instrumentation Description,,type and brand of instrumentation,l
40,airt_method,Methods Description,,"Field collection methods (include the type of data logger and describe any manual methods), data aggregation algorithms and quality assurance methods",l
41,airt_history,Sensor History,,"History of sensor-related changes (e.g., date and description of changes in location, instrument height, instrument type, or observation method)",l
42,airt_calib_history,Calibration History,,Date of current and all previous calibrations,l
43,airt_qc_min,Minimum QC Threshold,degree celsius,minimum value use for QC upon data harvest,s
44,airt_qc_max,Maximum QC Threshold,degree celsius,maximum value use for QC upon data harvest,s
45,atm_begin_date,Begin Date,,Beginning date of measurement,s
46,atm_end_date,End Date,,End date of measurement (enter 'Present' for continuing measurements),s
47,atm_log_interval,Data Logger Sampling Interval,,"e.g., 15 second, 1 minute",s
48,atm_summary_int,Summary Interval ,,"finest time step output for data (i.e., 15 minute, hourly, daily)",s
49,atm_data_accuracy,Data Accuracy,hectopascals,"e.g., +/-0.1 hPa",s
50,atm_inst_ht,Instrument Height,meters,meters above (or below) ground of sensor,s
51,atm_inst_desc,Instrumentation Description,,type and brand of instrumentation,l
52,atm_method,Methods Description,,"Field collection methods (include the type of data logger and describe any manual methods), data aggregation algorithms and quality assurance methods",l
53,atm_history,Sensor History,,"History of sensor-related changes (e.g., date and description of changes in location, instrument height, instrument type, or observation method)",l
54,atm_calib_history,Calibration History,,Date of current and all previous calibrations,l
55,atm_qc_min,Minimum QC Threshold,hectopascals,minimum value use for QC upon data harvest,s
56,atm_qc_max,Maximum QC Threshold,hectopascals,maximum value use for QC upon data harvest,s
57,dew_begin_date,Begin Date,,Beginning date of measurement,s
58,dew_end_date,End Date,,End date of measurement (enter 'Present' for continuing measurements),s
59,dew_log_interval,Data Logger Sampling Interval,,"e.g., 15 second, 1 minute",s
60,dew_summary_int,Summary Interval ,,"finest time step output for data (i.e., 15 minute, hourly, daily",s
61,dew_data_accuracy,Data Accuracy,degree celsius,"e.g., +/-0.1 degrees C",s
62,dew_inst_ht,Instrument Height,meters,meters above (or below) ground of sensor,s
63,dew_inst_desc,Instrumentation Description,,type and brand of instrumentation,l
64,dew_method,Methods Description,,"Field collection methods (include the type of data logger and describe any manual methods), data aggregation algorithms and quality assurance methods",l
65,dew_history,Sensor History,,"History of sensor-related changes (e.g., date and description of changes in location, instrument height, instrument type, or observation method)",l
66,dew_calib_history,Calibration History,,Date of current and all previous calibrations,l
67,dew_qc_min,Minimum QC Threshold,degree celsius,minimum value use for QC upon data harvest,s
68,dew_qc_max,Maximum QC Threshold,degree celsius,maximum value use for QC upon data harvest,s
