site_id,site_code,num_samplingLocations,opt_out
1,AND,27,
2,ARC,8,
3,BES,20,
4,BNZ,27,
5,CAS,11,
6,CDR,2,
7,CWT,18,
8,ENT,11,
9,FER,16,
10,FLE,9,
11,FRA,6,
12,GLA,1,
13,GRE,4,
14,HBR,61,
15,HFR,8,
16,HOR,7,
17,JRN,20,
18,KBS,8,
19,KNZ,12,
20,LUQ,23,
21,MAR,20,
22,MCM,35,
23,LNO,1,
24,NEV,5,
25,NTL,19,
26,NWT,8,
27,PAL,2,
28,PIE,10,
29,PIN,8,
30,PRI,1,
31,SDF,3,
32,SEV,23,
33,SGS,3,
34,SIE,1,
35,SIL,17,
36,SNT,11,
37,TEN,22,
38,VCR,6,
39,FCE,25,
40,GCE,18,
41,SBC,73,
42,CAP,54,
43,FEM,0,
44,CBE,1,
45,UMA,1,
46,MEF,4,
47,KEW,25,
48,MEW,1,
49,YEF,4,
50,SWS,11,
51,TAE,4,
52,TTC,3,
53,FSH,2,
54,HAE,2,
55,SER,2,
56,WRC,1,
57,LHC,4,
58,MCR,3,
59,CCE,2,
60,OLY,16,
