VariableCode,VariableName,VariableUnitsName,DataType,SampleMedium,ValueType,IsRegular,TimeSupport,TimeUnitsName,GeneralCategory,NoDataValue
ATM,"Pressure, absolute",hectopascals,Average,Air,Field Observation,FALSE,1,day,Climate,
DEW,"Temperature, dew point",degree celsius,Average,Air,Derived value,FALSE,1,day,Climate,
DSCH,Discharge,liters per second,Average,Surface water,unknown,FALSE,1,day,Hydrology,
GRAD,Global Radiation,megajoules per square meter,Cumulative,Other,Field Observation,FALSE,1,day,Climate,
PREC,Precipitation,millimeter,Cumulative,Precipitation,Field Observation,FALSE,1,day,Hydrology,
RH,Relative humidity,percent,Average,Air,Field Observation,FALSE,1,day,Climate,
RWDI,Wind direction,degree,Average,Air,Derived value,FALSE,1,day,Climate,
RWSP,Wind speed,meters per second,Average,Air,Derived value,FALSE,1,day,Climate,
SM,Water content,megapascal,Average,Soil,Field Observation,FALSE,1,day,Soil,
SMAX,Temperature,degree celsius,Maximum,Soil,Field Observation,FALSE,1,day,Soil,
SMEA,Temperature,degree celsius,Average,Soil,Field Observation,FALSE,1,day,Soil,
SMIN,Temperature,degree celsius,Minimum,Soil,Field Observation,FALSE,1,day,Soil,
SNOW,Snow depth,millimeter,Constant over interval,Snow,Field Observation,FALSE,0,day,Hydrology,
TMAX,Temperature,degree celsius,Maximum,Air,Field Observation,FALSE,1,day,Climate,
TMEA,Temperature,degree celsius,Average,Air,Field Observation,FALSE,1,day,Climate,
TMIN,Temperature,degree celsius,Minimum,Air,Field Observation,FALSE,1,day,Climate,
VAP,Vapor pressure,hectopascals,Average,Air,Field Observation,FALSE,1,day,Climate,
WDIR,Wind direction,degree ,Average,Air,Field Observation,FALSE,1,day,Climate,
WMAX,Temperature,degree celsius,Maximum,Surface water,Field Observation,FALSE,1,day,Water quality,
WMEA,Temperature,degree celsius,Average,Surface water,Field Observation,FALSE,1,day,Water quality,
WMIN,Temperature,degree celsius,Minimum,Surface water,Field Observation,FALSE,1,day,Water quality,
WSP,Wind speed,meters per second,Average,Air,Field Observation,FALSE,1,day,Climate,
