site_name,res_site_id,site_id,res_site_parent_id,res_site_code,res_site_name,descriptor_type_name,descriptor_value,descriptor_type_unit
Arctic Tundra,2,2,,ARC,Arctic Tundra,Site north bounding coordinate,68.62822897,decimal degree
Arctic Tundra,2,2,,ARC,Arctic Tundra,Site west bounding coordinate,-149.5960013,decimal degree
Arctic Tundra,2,2,,ARC,Arctic Tundra,Site south bounding coordinate,68.62822897,decimal degree
Arctic Tundra,2,2,,ARC,Arctic Tundra,Site east bounding coordinate,-149.5960013,decimal degree
Arctic Tundra,315,2,314,Kuparuk ,Kuparuk River,Latitude,68.6457,decimal degrees
Arctic Tundra,315,2,314,Kuparuk ,Kuparuk River,Longitude,149.4052,decimal degrees
Arctic Tundra,46,2,2,TLKMAIN,Toolik Lake Field Station,Latitude,68.6283,decimal degrees
Arctic Tundra,46,2,2,TLKMAIN,Toolik Lake Field Station,Longitude,-149.596,decimal degrees
Baltimore Ecosystem Study,428,3,3,BWI,BWI Airport,Latitude,39.1733 (From Google Earth),decimal degrees
Baltimore Ecosystem Study,428,3,3,BWI,BWI Airport,Longitude,-76.6841 (From Google Earth),decimal degrees
Baltimore Ecosystem Study,429,3,3,DMH,Inner Harbor,Latitude,39.2815 (From Google Earth),decimal degrees
Baltimore Ecosystem Study,429,3,3,DMH,Inner Harbor,Longitude,-76.6112 (From Google Earth),decimal degrees
Baltimore Ecosystem Study,404,3,3,Mcdonogh1,McDonogh Primary,Latitude,39.3957,decimal degrees
Baltimore Ecosystem Study,404,3,3,Mcdonogh1,McDonogh Primary,Longitude,-76.7713,decimal degrees
Bonanza Creek Experimental Forest,4,4,,BNZ,Bonanza Creek Experimental Forest,Site north bounding coordinate,64.77376,decimal degree
Bonanza Creek Experimental Forest,4,4,,BNZ,Bonanza Creek Experimental Forest,Site west bounding coordinate,-148.34713,decimal degree
Bonanza Creek Experimental Forest,4,4,,BNZ,Bonanza Creek Experimental Forest,Site south bounding coordinate,64.68825,decimal degree
Bonanza Creek Experimental Forest,4,4,,BNZ,Bonanza Creek Experimental Forest,Site east bounding coordinate,-148.10477,decimal degree
Bonanza Creek Experimental Forest,415,4,4,C4,C4,Latitude,65.16867494,decimal degrees
Bonanza Creek Experimental Forest,415,4,4,C4,C4,Longitude,-147.506,decimal degrees
Bonanza Creek Experimental Forest,417,4,4,CPEAK,CPEAK,Latitude,"	65.19144594 ",decimal degrees
Bonanza Creek Experimental Forest,417,4,4,CPEAK,CPEAK,Longitude,"	-147.4965636",decimal degrees
Bonanza Creek Experimental Forest,313,4,4,CRREL,CRREL,Latitude,65.154259,decimal degrees
Bonanza Creek Experimental Forest,313,4,4,CRREL,CRREL,Longitude,147.4903787,decimal degrees
Bonanza Creek Experimental Forest,310,4,4,CT1600,CT1600,Latitude,65.17466667,decimal degrees
Bonanza Creek Experimental Forest,310,4,4,CT1600,CT1600,Longitude,-147.492,decimal degrees
Bonanza Creek Experimental Forest,311,4,4,CT2100,CT2100,Latitude,65.18216667,decimal degrees
