site.site_id,site.site_code,site.latitude_deg,site.longitude_deg,xxx.UTCOffset,site.site_name,Note,
1,AND,44.2,-122.2,-8,H.J. Andrews Experimental Forest,Margaret added many xxx.UTCOffsets,
2,ARC,68.6,-149.6,-9,Arctic Tundra,,
3,BES,39.1,-76.3,-5,Baltimore Ecosystem Study,"mob added lat, lon",
4,BNZ,64.8,-148,-9,Bonanza Creek Experimental Forest,,
5,CAS,39.34,-123.77,-8,Caspar Creek Experimental Watersheds,judi added lat long,https://www.fs.fed.us/psw/topics/water/caspar/
6,CDR,45.4,-93.2,-6,Cedar Creek Ecosystem Science Reserve,,
7,CWT,35,-83.5,-5,Coweeta Hydrologic Laboratory,,
8,ENT,47.95,120.47,-8,Entiat Experimental Forest,judi added lat long,https://www.fs.usda.gov/pnw/experimental-forests-and-ranges/entiat-experimental-forest
9,FER,39.05,-79.67,-5,Fernow Experimental Forest,judi added lat long,https://www.nrs.fs.fed.us/ef/locations/wv/fernow/
10,FLE,42.28,-83.73,-6,Fleming Creek Watersheds,susanne added lat lon url, https://www.hrwc.org/our-watershed/features/fleming-creek/
11,FRA,39.9,-105.88,-7,Fraser Experimental Forest,judi added lat long,https://www.fs.usda.gov/rmrs/experimental-forests-and-ranges/fraser-experimental-forest
12,GLA,41.36,-106.24,-7,Glacier Lakes Ecosystem Experiments Site,judi added lat long,https://www.fs.usda.gov/rmrs/experimental-forests-and-ranges/glees-glacier-lakes-ecosystem-experiments-site
13,GRE,39.32,-111.5,-7,Great Basin Experimental Range,judi added lat long,https://www.fs.usda.gov/rmrs/experimental-forests-and-ranges/great-basin-experimental-range
14,HBR,43.9,-71.8,-5,Hubbard Brook,,https://hubbardbrook.org/
15,HFR,42.5,-72.2,-5,Harvard Forest,,
16,HOR,45.99,-115.28,-7,Horse Creek Study Watersheds,judi added an estimated lat long,https://www.fs.fed.us/rm/boise/research/watershed/harvester/horsecreekdata.htm
17,JRN,32.5,-106.8,-7,Jornada Basin,,
18,KBS,42.4,-85.4,-6,Kellogg Biological Station,,
19,KNZ,39.1,-94.6,-6,Konza Prairie,,
20,LUQ,18.3,-65.8,-4,Luquillo Experimental Forest,,
21,MAR,47.52,-93.47,-6,Marcell Experimental Forest,judi added an estimated lat long,https://www.nrs.fs.fed.us/ef/marcell/
22,MCM,-78,165,11,McMurdo Dry Valleys,susanne added utc offset,
23,LNO,34.3,-106.8,-7,LTER Network Office,,
