"variable_name","variable","fullname","aggregate_mean","aggregate_total","aggregate_min","aggregate_max","qc_min","qc_max","descriptor_category_id","unit_desc","unit","decimals"
DAILY_ATMPRESSURE_MEAN_HPA,ATM,Atmospheric Pressure,Y,Y,Y,Y,"960","1050",6,hectopascals                  ,HPA       ,0
DAILY_DEWPOINT_MEAN_C,DEW,Dewpoint Temperature,Y,N,Y,Y,-50,"50",7,degree celsius                ,C         ,1
DAILY_DISCHARGE_MEAN_LPS,DSCH,Stream Discharge,Y,N,Y,Y,"0","20000",21,liters per second             ,LPS       ,3
DAILY_GLOBALRAD_TOTAL_MJM2,GRAD,Global Radiation,Y,Y,Y,Y,"0","40",8,megajoules per square meter   ,MJM2      ,2
DAILY_PRECIP_TOTAL_MM,PREC,Precipitation ,Y,Y,Y,Y,"0","150",9,millimeters                   ,MM        ,1
DAILY_RH_MEAN_PCT,RH,Relative Humidity,Y,N,Y,Y,"0","100",10,percent                       ,PCT       ,1
DAILY_RESWINDDIR_MEAN_DEG,RWDI,Resultant Wind Direction,N,N,N,N,"0","360",19,degrees azimuth               ,DEG       ,1
DAILY_RESWINDSP_MEAN_MSEC,RWSP,Resultant Wind Speed,Y,N,Y,Y,"0","50",15,meters per second             ,MSEC      ,1
DAILY_SOILMOISTURE_MEAN_MPA,SM,Soil Moisture,Y,N,Y,Y,"0","0.3",11,megapascal                    ,MPA       ,3
DAILY_SOILTEMP_ABSMAX_C,SMAX,Soil Temperature,Y,N,Y,Y,-5,"25",13,degree celsius                ,C         ,1
DAILY_SOILTEMP_MEAN_C,SMEA,Soil Temperature,Y,N,Y,Y,-5,"25",13,degree celsius                ,C         ,1
DAILY_SOILTEMP_ABSMIN_C,SMIN,Soil Temperature,Y,N,Y,Y,-5,"25",13,degree celsius                ,C         ,1
DAILY_SNOWH2O_INSTANT_MM,SNOW,Snow Depth,Y,N,Y,Y,"0","1200",12,millimeters                   ,MM        ,1
DAILY_AIRTEMP_ABSMAX_C,TMAX,Air Temperature,Y,N,Y,Y,-50,"50",5,degree celsius                ,C         ,1
DAILY_AIRTEMP_MEAN_C,TMEA,Air Temperature,Y,N,Y,Y,-50,"50",5,degree celsius                ,C         ,1
DAILY_AIRTEMP_ABSMIN_C,TMIN,Air Temperature,Y,N,Y,Y,-50,"50",5,degree celsius                ,C         ,1
DAILY_VAPPRESSURE_MEAN_HPA,VAP,Water Vapor Pressure,Y,Y,Y,Y,"0","100",14,hectopascals                  ,HPA       ,3
DAILY_WINDDIR_MEAN_DEG,WDIR,Wind Direction,N,N,N,N,"0","360",19,degrees azimuth               ,DEG       ,0
DAILY_WATERTEMP_ABSMAX_C,WMAX,Water Temperature,Y,N,Y,Y,-10,"40",20,degree celsius                ,C         ,1
DAILY_WATERTEMP_MEAN_C,WMEA,Water Temperature,Y,N,Y,Y,-10,"40",20,degree celsius                ,C         ,1
DAILY_WATERTEMP_ABSMIN_C,WMIN,Water Temperature,Y,N,Y,Y,-10,"40",20,degree celsius                ,C         ,1
DAILY_WINDSP_MEAN_MSEC,WSP,Wind Speed,Y,N,Y,Y,"0","50",15,meters per second             ,MSEC      ,1
