"DataValue","LocalDateTime","UTCOffset","DateTimeUTC","SiteCode","VariableCode","MethodCode","SourceCode","QualityControlLevelCode"
"4.1","1957-10-01T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"27.4","1957-10-02T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"22.9","1957-10-03T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"9.4","1957-10-04T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"5.3","1957-10-05T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"17.3","1957-10-06T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"5.8","1957-10-07T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"9.1","1957-10-08T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-10-09T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-10-10T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-10-11T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"17.5","1957-10-12T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"16.0","1957-10-13T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.5","1957-10-14T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-10-15T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-10-16T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-10-17T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-10-18T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-10-19T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-10-20T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-10-21T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.8","1957-10-22T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"2.3","1957-10-23T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"1.5","1957-10-24T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"7.6","1957-10-25T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-10-26T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-10-27T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-10-28T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-10-29T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.5","1957-10-30T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.8","1957-10-31T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-11-01T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-11-02T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-11-03T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-11-04T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-11-05T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-11-06T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-11-07T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-11-08T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-11-09T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"16.5","1957-11-10T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"24.1","1957-11-11T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"71.4","1957-11-12T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"62.5","1957-11-13T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"25.9","1957-11-14T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"1.5","1957-11-15T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-11-16T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"13.2","1957-11-17T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"15.5","1957-11-18T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-11-19T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-11-20T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-11-21T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-11-22T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-11-23T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-11-24T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.5","1957-11-25T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"1.0","1957-11-26T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"1.0","1957-11-27T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"5.6","1957-11-28T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-11-29T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-11-30T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"24.6","1957-12-01T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"1.8","1957-12-02T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-12-03T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-12-04T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"8.6","1957-12-05T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"138.4","1957-12-06T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"13.2","1957-12-07T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-12-08T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-12-09T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-12-10T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.8","1957-12-11T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-12-12T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"1.3","1957-12-13T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"8.4","1957-12-14T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"2.8","1957-12-15T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"7.6","1957-12-16T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"20.8","1957-12-17T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"55.4","1957-12-18T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"148.6","1957-12-19T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"104.4","1957-12-20T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"40.6","1957-12-21T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"10.9","1957-12-22T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"13.0","1957-12-23T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"47.2","1957-12-24T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"26.7","1957-12-25T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"13.2","1957-12-26T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"66.0","1957-12-27T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"29.2","1957-12-28T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"6.9","1957-12-29T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-12-30T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1957-12-31T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"2.8","1958-01-01T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"3.8","1958-01-02T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
"0.0","1958-01-03T00:00:00.000Z","NA","NA","CS2MET","PREC","NA","NA","-9999"
