"","res_site_name","descriptor_type_code","descriptor_type_name","descriptor_value","raw_parent_code","lat_long_ref","elevation_ref","local_x","local_y","position_accuracy","SiteType"
"Kuparuk","Kuparuk River","gs_elev","Elevation","","ARC","WGS84","mean sea level","","","",""
"Kuparuk","Kuparuk River","gs_lat","Latitude","68.6457","ARC","WGS84","mean sea level","","","",""
"Kuparuk","Kuparuk River","gs_long","Longitude","149.4052","ARC","WGS84","mean sea level","","","",""
"Oksrukuyik","Oksrukuyik River","gs_elev","Elevation","","ARC","WGS84","mean sea level","","","",""
"Oksrukuyik","Oksrukuyik River","gs_lat","Latitude","","ARC","WGS84","mean sea level","","","",""
"Oksrukuyik","Oksrukuyik River","gs_long","Longitude","","ARC","WGS84","mean sea level","","","",""
"Tlk_Inlet","Toolik Inlet","gs_elev","Elevation","","ARC","WGS84","mean sea level","","","",""
"Tlk_Inlet","Toolik Inlet","gs_lat","Latitude","","ARC","WGS84","mean sea level","","","",""
"Tlk_Inlet","Toolik Inlet","gs_long","Longitude","","ARC","WGS84","mean sea level","","","",""
"TLKMAIN","Toolik Lake Field Station","ms_elev","Elevation","726.5","ARC","WGS84","mean sea level","","","",""
"TLKMAIN","Toolik Lake Field Station","ms_lat","Latitude","68.6283","ARC","WGS84","mean sea level","","","",""
"TLKMAIN","Toolik Lake Field Station","ms_long","Longitude","-149.5960","ARC","WGS84","mean sea level","","","",""
