"","res_site_name","descriptor_type_code","descriptor_type_name","descriptor_value","raw_parent_code","lat_long_ref","elevation_ref","local_x","local_y","position_accuracy","SiteType"
"C111_S18C","CANAL_111_S-18-C_FLORIDACITY (USGS 2290769)","gs_elev","Elevation","Unknown","FCE","WGS84","mean sea level","","","",""
"C111_S18C","CANAL_111_S-18-C_FLORIDACITY (USGS 2290769)","gs_lat","Latitude","25.3206","FCE","WGS84","mean sea level","","","",""
"C111_S18C","CANAL_111_S-18-C_FLORIDACITY (USGS 2290769)","gs_long","Longitude","-80.5253","FCE","WGS84","mean sea level","","","",""
"Everglades","Everglades NOAA","ms_elev","Elevation","1.5","FCE","WGS84","mean sea level","","","",""
"Everglades","Everglades NOAA","ms_lat","Latitude","+25.8500","FCE","WGS84","mean sea level","","","",""
"Everglades","Everglades NOAA","ms_long","Longitude","-81.3833","FCE","WGS84","mean sea level","","","",""
"Flamingo_R","FLAMINGO RANGER STATION, FL US (USC00083020)","gs_elev","Elevation","0.9","FCE","WGS84","mean sea level","","","",""
"Flamingo_R","FLAMINGO RANGER STATION, FL US (USC00083020)","gs_lat","Latitude","25.1422","FCE","WGS84","mean sea level","","","",""
"Flamingo_R","FLAMINGO RANGER STATION, FL US (USC00083020)","gs_long","Longitude","-80.9144","FCE","WGS84","mean sea level","","","",""
"FlamingoRS","Flamingo Ranger Station NOAA","ms_elev","Elevation","0.9","FCE","WGS84","mean sea level","","","",""
"FlamingoRS","Flamingo Ranger Station NOAA","ms_lat","Latitude","+25.1500","FCE","WGS84","mean sea level","","","",""
"FlamingoRS","Flamingo Ranger Station NOAA","ms_long","Longitude","-80.9167","FCE","WGS84","mean sea level","","","",""
"LEVEE31_1","LEVEE_31_NORTH_EXT_AT_1MILE_WESTMIAMI (USGS 22907647)","gs_elev","Elevation","Unknown","FCE","WGS84","mean sea level","","","",""
"LEVEE31_1","LEVEE_31_NORTH_EXT_AT_1MILE_WESTMIAMI (USGS 22907647)","gs_lat","Latitude","25.4781","FCE","WGS84","mean sea level","","","",""
"LEVEE31_1","LEVEE_31_NORTH_EXT_AT_1MILE_WESTMIAMI (USGS 22907647)","gs_long","Longitude","-80.4981","FCE","WGS84","mean sea level","","","",""
"LEVEE31_3","LEVEE_31_NORTH_EXT_AT_3MILE_WESTMIAMI  (USGS 2290765)","gs_elev","Elevation","Unknown","FCE","WGS84","mean sea level","","","",""
"LEVEE31_3","LEVEE_31_NORTH_EXT_AT_3MILE_WESTMIAMI  (USGS 2290765)","gs_lat","Latitude","25.7464","FCE","WGS84","mean sea level","","","",""
"LEVEE31_3","LEVEE_31_NORTH_EXT_AT_3MILE_WESTMIAMI  (USGS 2290765)","gs_long","Longitude","-80.4978","FCE","WGS84","mean sea level","","","",""
"LEVEE31_4","LEVEE_31_NORTH_EXT_AT_4MILE_WESTMIAMI (USGS 2290766)","gs_elev","Elevation","Unknown","FCE","WGS84","mean sea level","","","",""
"LEVEE31_4","LEVEE_31_NORTH_EXT_AT_4MILE_WESTMIAMI (USGS 2290766)","gs_lat","Latitude","25.7017","FCE","WGS84","mean sea level","","","",""
"LEVEE31_4","LEVEE_31_NORTH_EXT_AT_4MILE_WESTMIAMI (USGS 2290766)","gs_long","Longitude","-80.4961","FCE","WGS84","mean sea level","","","",""
"LEVEE31_5","LEVEE_31_NORTH_EXT_AT_5MILE_WESTMIAMI (USGS 2290767)","gs_elev","Elevation","Unknown","FCE","WGS84","mean sea level","","","",""
"LEVEE31_5","LEVEE_31_NORTH_EXT_AT_5MILE_WESTMIAMI (USGS 2290767)","gs_lat","Latitude","25.6858","FCE","WGS84","mean sea level","","","",""
"LEVEE31_5","LEVEE_31_NORTH_EXT_AT_5MILE_WESTMIAMI (USGS 2290767)","gs_long","Longitude","-80.4972","FCE","WGS84","mean sea level","","","",""
"LEVEE31_7","LEVEE_31_NORTH_EXT_AT_7MILE_WESTMIAMI (USGS 2290768)","gs_elev","Elevation","Unknown","FCE","WGS84","mean sea level","","","",""
"LEVEE31_7","LEVEE_31_NORTH_EXT_AT_7MILE_WESTMIAMI (USGS 2290768)","gs_lat","Latitude","25.6631","FCE","WGS84","mean sea level","","","",""
"LEVEE31_7","LEVEE_31_NORTH_EXT_AT_7MILE_WESTMIAMI (USGS 2290768)","gs_long","Longitude","-80.4983","FCE","WGS84","mean sea level","","","",""
"MIA","Miami Internation Airport NOAA","ms_elev","Elevation","10.7","FCE","WGS84","mean sea level","","","",""
"MIA","Miami Internation Airport NOAA","ms_lat","Latitude","+25.8167","FCE","WGS84","mean sea level","","","",""
"MIA","Miami Internation Airport NOAA","ms_long","Longitude","-80.3000","FCE","WGS84","mean sea level","","","",""
"MIA_G","MIAMI INTERNATIONAL AIRPORT, FL US (USW00012839)","gs_elev","Elevation","8.8","FCE","WGS84","mean sea level","","","",""
"MIA_G","MIAMI INTERNATIONAL AIRPORT, FL US (USW00012839)","gs_lat","Latitude","25.7881","FCE","WGS84","mean sea level","","","",""
"MIA_G","MIAMI INTERNATIONAL AIRPORT, FL US (USW00012839)","gs_long","Longitude","-80.3169","FCE","WGS84","mean sea level","","","",""
"RoyalPalmR","Royal Palm Ranger Station NOAA","ms_elev","Elevation","2.1","FCE","WGS84","mean sea level","","","",""
"RoyalPalmR","Royal Palm Ranger Station NOAA","ms_lat","Latitude","+25.3833","FCE","WGS84","mean sea level","","","",""
"RoyalPalmR","Royal Palm Ranger Station NOAA","ms_long","Longitude","-80.6000","FCE","WGS84","mean sea level","","","",""
"RoyalPalmS","ROYAL PALM RANGER STATION, FL US (USC00087760)","gs_elev","Elevation","2.1","FCE","WGS84","mean sea level","","","",""
"RoyalPalmS","ROYAL PALM RANGER STATION, FL US (USC00087760)","gs_lat","Latitude","25.3866","FCE","WGS84","mean sea level","","","",""
"RoyalPalmS","ROYAL PALM RANGER STATION, FL US (USC00087760)","gs_long","Longitude","-80.5936","FCE","WGS84","mean sea level","","","",""
"TAM_S12A","TAMIAMI_CANAL_AT_S-12-A (USGS 254543080491101)","gs_elev","Elevation","Unknown","FCE","WGS84","mean sea level","","","",""
"TAM_S12A","TAMIAMI_CANAL_AT_S-12-A (USGS 254543080491101)","gs_lat","Latitude","25.7619","FCE","WGS84","mean sea level","","","",""
"TAM_S12A","TAMIAMI_CANAL_AT_S-12-A (USGS 254543080491101)","gs_long","Longitude","-80.8197","FCE","WGS84","mean sea level","","","",""
"TAM_S12B","TAMIAMI_CANAL_AT_S-12-B (USGS 2289019)","gs_elev","Elevation","Unknown","FCE","WGS84","mean sea level","","","",""
"TAM_S12B","TAMIAMI_CANAL_AT_S-12-B (USGS 2289019)","gs_lat","Latitude","25.7611","FCE","WGS84","mean sea level","","","",""
"TAM_S12B","TAMIAMI_CANAL_AT_S-12-B (USGS 2289019)","gs_long","Longitude","-80.7681","FCE","WGS84","mean sea level","","","",""
"TAM_S12C","TAMIAMI_CANAL_BELOW_S-12-C (USGS 2289041)","gs_elev","Elevation","Unknown","FCE","WGS84","mean sea level","","","",""
"TAM_S12C","TAMIAMI_CANAL_BELOW_S-12-C (USGS 2289041)","gs_lat","Latitude","25.7611","FCE","WGS84","mean sea level","","","",""
"TAM_S12C","TAMIAMI_CANAL_BELOW_S-12-C (USGS 2289041)","gs_long","Longitude","-80.7261","FCE","WGS84","mean sea level","","","",""
"TAM_S12D","TAMIAMI_CANAL_AT_S-12-D (USGS 254543080405401)","gs_elev","Elevation","Unknown","FCE","WGS84","mean sea level","","","",""
"TAM_S12D","TAMIAMI_CANAL_AT_S-12-D (USGS 254543080405401)","gs_lat","Latitude","25.7619","FCE","WGS84","mean sea level","","","",""
"TAM_S12D","TAMIAMI_CANAL_AT_S-12-D (USGS 254543080405401)","gs_long","Longitude","-80.6817","FCE","WGS84","mean sea level","","","",""
"Tavernier","Tavernier NOAA","ms_elev","Elevation","2.1","FCE","WGS84","mean sea level","","","",""
"Tavernier","Tavernier NOAA","ms_lat","Latitude","+25.0000","FCE","WGS84","mean sea level","","","",""
"Tavernier","Tavernier NOAA","ms_long","Longitude","-80.5167","FCE","WGS84","mean sea level","","","",""
"WELLFIELD","NW_WELLFIELD_CANAL_NR_DADE_BROWARD_LEVEE_NR_PENN (USGS 2287497)","gs_elev","Elevation","Unknown","FCE","WGS84","mean sea level","","","",""
"WELLFIELD","NW_WELLFIELD_CANAL_NR_DADE_BROWARD_LEVEE_NR_PENN (USGS 2287497)","gs_lat","Latitude","25.8911","FCE","WGS84","mean sea level","","","",""
"WELLFIELD","NW_WELLFIELD_CANAL_NR_DADE_BROWARD_LEVEE_NR_PENN (USGS 2287497)","gs_long","Longitude","-80.4369","FCE","WGS84","mean sea level","","","",""
