"DataValue","LocalDateTime","UTCOffset","DateTimeUTC","SiteCode","VariableCode","MethodCode","SourceCode","QualityControlLevelCode"
"3.6","1924-02-01T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-02-02T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-02-03T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-02-04T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-02-05T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-02-06T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-02-07T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-02-08T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-02-09T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-02-10T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-02-11T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-02-12T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-02-13T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-02-14T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-02-15T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-02-16T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-02-17T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"6.1","1924-02-18T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-02-19T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-02-20T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-02-21T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-02-22T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-02-23T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-02-24T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-02-25T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"5.6","1924-02-26T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-02-27T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-02-28T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-02-29T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-03-01T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-03-02T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-03-03T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-03-04T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-03-05T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-03-06T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-03-07T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-03-08T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-03-09T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-03-10T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-03-11T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-03-12T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-03-13T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"6.1","1924-03-14T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-03-15T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-03-16T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-03-17T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-03-18T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-03-19T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"4.3","1924-03-20T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-03-21T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-03-22T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-03-23T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-03-24T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-03-25T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-03-26T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-03-27T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-03-28T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-03-29T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-03-30T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-03-31T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-04-01T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-04-02T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-04-03T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-04-04T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-04-05T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-04-06T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-04-07T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-04-08T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-04-09T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-04-10T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-04-11T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-04-12T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-04-13T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-04-14T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"3.8","1924-04-15T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-04-16T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-04-17T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-04-18T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-04-19T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-04-20T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"8.9","1924-04-21T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-04-22T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"6.1","1924-04-23T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-04-24T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-04-25T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-04-26T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-04-27T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-04-28T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-04-29T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-04-30T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-05-01T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-05-02T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-05-03T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-05-04T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"22.9","1924-05-05T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-05-06T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"22.9","1924-05-07T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-05-08T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-05-09T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
"0","1924-05-10T00:00:00.000Z","NA","NA","Everglades","PREC","0","39","-9999"
