"","res_site_name","descriptor_type_code","descriptor_type_name","descriptor_value","raw_parent_code","lat_long_ref","elevation_ref","local_x","local_y","position_accuracy","SiteType"
"STATIONB","Camp Hollow Station B","ms_elev","Elevation","730","FER","WGS84","mean sea level","","","",""
"STATIONB","Camp Hollow Station B","ms_lat","Latitude","39.05297","FER","WGS84","mean sea level","","","",""
"STATIONB","Camp Hollow Station B","ms_long","Longitude","-79.68560","FER","WGS84","mean sea level","","","",""
"WS1","Watershed 1","gs_elev","Elevation","635","FER","WGS84","mean sea level","","","",""
"WS1","Watershed 1","gs_lat","Latitude","39.06007","FER","WGS84","mean sea level","","","",""
"WS1","Watershed 1","gs_long","Longitude","-79.67132","FER","WGS84","mean sea level","","","",""
"WS2","Watershed 2","gs_elev","Elevation","710","FER","WGS84","mean sea level","","","",""
"WS2","Watershed 2","gs_lat","Latitude","39.05387","FER","WGS84","mean sea level","","","",""
"WS2","Watershed 2","gs_long","Longitude","-79.68258","FER","WGS84","mean sea level","","","",""
"WS3","Watershed 3","gs_elev","Elevation","730","FER","WGS84","mean sea level","","","",""
"WS3","Watershed 3","gs_lat","Latitude","39.05413","FER","WGS84","mean sea level","","","",""
"WS3","Watershed 3","gs_long","Longitude","-79.68625","FER","WGS84","mean sea level","","","",""
"WS4","Watershed 4","gs_elev","Elevation","740","FER","WGS84","mean sea level","","","",""
"WS4","Watershed 4","gs_lat","Latitude","39.05397","FER","WGS84","mean sea level","","","",""
"WS4","Watershed 4","gs_long","Longitude","-79.68714","FER","WGS84","mean sea level","","","",""
"WS5","Watershed 5","gs_elev","Elevation","720","FER","WGS84","mean sea level","","","",""
"WS5","Watershed 5","gs_lat","Latitude","39.05239","FER","WGS84","mean sea level","","","",""
"WS5","Watershed 5","gs_long","Longitude","-79.68560","FER","WGS84","mean sea level","","","",""
"WS6","Watershed 6","gs_elev","Elevation","730","FER","WGS84","mean sea level","","","",""
"WS6","Watershed 6","gs_lat","Latitude","39.06612","FER","WGS84","mean sea level","","","",""
"WS6","Watershed 6","gs_long","Longitude","-79.67698","FER","WGS84","mean sea level","","","",""
"WS7","Watershed 7","gs_elev","Elevation","730","FER","WGS84","mean sea level","","","",""
"WS7","Watershed 7","gs_lat","Latitude","39.06388","FER","WGS84","mean sea level","","","",""
"WS7","Watershed 7","gs_long","Longitude","-79.68029","FER","WGS84","mean sea level","","","",""
