"","res_site_name","descriptor_type_code","descriptor_type_name","descriptor_value","raw_parent_code","lat_long_ref","elevation_ref","local_x","local_y","position_accuracy","SiteType"
"GSWS1","Watershed 1","gs_elev","Elevation","488","HBR","WGS84","mean sea level","","","",""
"GSWS1","Watershed 1","gs_lat","Latitude","43.952","HBR","WGS84","mean sea level","","","",""
"GSWS1","Watershed 1","gs_long","Longitude","-71.727","HBR","WGS84","mean sea level","","","",""
"GSWS2","Watershed 2","gs_elev","Elevation","503","HBR","WGS84","mean sea level","","","",""
"GSWS2","Watershed 2","gs_lat","Latitude","43.953","HBR","WGS84","mean sea level","","","",""
"GSWS2","Watershed 2","gs_long","Longitude","-71.724","HBR","WGS84","mean sea level","","","",""
"GSWS3","Watershed 3","gs_elev","Elevation","527","HBR","WGS84","mean sea level","","","",""
"GSWS3","Watershed 3","gs_lat","Latitude","43.955","HBR","WGS84","mean sea level","","","",""
"GSWS3","Watershed 3","gs_long","Longitude","-71.723","HBR","WGS84","mean sea level","","","",""
"GSWS4","Watershed 4","gs_elev","Elevation","442","HBR","WGS84","mean sea level","","","",""
"GSWS4","Watershed 4","gs_lat","Latitude","43.950","HBR","WGS84","mean sea level","","","",""
"GSWS4","Watershed 4","gs_long","Longitude","-71.726","HBR","WGS84","mean sea level","","","",""
"GSWS5","Watershed 5","gs_elev","Elevation","488","HBR","WGS84","mean sea level","","","",""
"GSWS5","Watershed 5","gs_lat","Latitude","43.949","HBR","WGS84","mean sea level","","","",""
"GSWS5","Watershed 5","gs_long","Longitude","-71.732","HBR","WGS84","mean sea level","","","",""
"GSWS6","Watershed 6","gs_elev","Elevation","549","HBR","WGS84","mean sea level","","","",""
"GSWS6","Watershed 6","gs_lat","Latitude","43.950","HBR","WGS84","mean sea level","","","",""
"GSWS6","Watershed 6","gs_long","Longitude","-71.736","HBR","WGS84","mean sea level","","","",""
"GSWS7","Watershed 7","gs_elev","Elevation","619","HBR","WGS84","mean sea level","","","",""
"GSWS7","Watershed 7","gs_lat","Latitude","43.928","HBR","WGS84","mean sea level","","","",""
"GSWS7","Watershed 7","gs_long","Longitude","-71.767","HBR","WGS84","mean sea level","","","",""
"GSWS8","Watershed 8","gs_elev","Elevation","610","HBR","WGS84","mean sea level","","","",""
"GSWS8","Watershed 8","gs_lat","Latitude","43.929","HBR","WGS84","mean sea level","","","",""
"GSWS8","Watershed 8","gs_long","Longitude","-71.760","HBR","WGS84","mean sea level","","","",""
"GSWS9","Watershed 9","gs_elev","Elevation","685","HBR","WGS84","mean sea level","","","",""
"GSWS9","Watershed 9","gs_lat","Latitude","43.926","HBR","WGS84","mean sea level","","","",""
"GSWS9","Watershed 9","gs_long","Longitude","-71.747","HBR","WGS84","mean sea level","","","",""
"WEASTA_1","Weather Station 1","ms_elev","Elevation","","HBR","WGS84","mean sea level","","","",""
"WEASTA_1","Weather Station 1","ms_lat","Latitude","","HBR","WGS84","mean sea level","","","",""
"WEASTA_1","Weather Station 1","ms_long","Longitude","","HBR","WGS84","mean sea level","","","",""
"WEASTA_14","Weather Station 14","ms_elev","Elevation","","HBR","WGS84","mean sea level","","","",""
"WEASTA_14","Weather Station 14","ms_lat","Latitude","","HBR","WGS84","mean sea level","","","",""
"WEASTA_14","Weather Station 14","ms_long","Longitude","","HBR","WGS84","mean sea level","","","",""
"WEASTA_17","Weather Station 17","ms_elev","Elevation","","HBR","WGS84","mean sea level","","","",""
"WEASTA_17","Weather Station 17","ms_lat","Latitude","","HBR","WGS84","mean sea level","","","",""
"WEASTA_17","Weather Station 17","ms_long","Longitude","","HBR","WGS84","mean sea level","","","",""
"WEASTA_1A","Weather Station 1A","ms_elev","Elevation","","HBR","WGS84","mean sea level","","","",""
"WEASTA_1A","Weather Station 1A","ms_lat","Latitude","","HBR","WGS84","mean sea level","","","",""
"WEASTA_1A","Weather Station 1A","ms_long","Longitude","","HBR","WGS84","mean sea level","","","",""
"WEASTA_23","Weather Station 23","ms_elev","Elevation","","HBR","WGS84","mean sea level","","","",""
"WEASTA_23","Weather Station 23","ms_lat","Latitude","","HBR","WGS84","mean sea level","","","",""
"WEASTA_23","Weather Station 23","ms_long","Longitude","","HBR","WGS84","mean sea level","","","",""
"WEASTA_24","Weather Station 24","ms_elev","Elevation","","HBR","WGS84","mean sea level","","","",""
"WEASTA_24","Weather Station 24","ms_lat","Latitude","","HBR","WGS84","mean sea level","","","",""
"WEASTA_24","Weather Station 24","ms_long","Longitude","","HBR","WGS84","mean sea level","","","",""
"WEASTA_6","Weather Station 6","ms_elev","Elevation","","HBR","WGS84","mean sea level","","","",""
"WEASTA_6","Weather Station 6","ms_lat","Latitude","","HBR","WGS84","mean sea level","","","",""
"WEASTA_6","Weather Station 6","ms_long","Longitude","","HBR","WGS84","mean sea level","","","",""
