"res_site_code","res_site_name","descriptor_type_code","descriptor_type_name","descriptor_value","raw_parent_code","lat_long_ref","elevation_ref","local_x","local_y","position_accuracy","SiteType"
"Bigelow_L","Bigelow Brook Lower Watershed","gs_elev","Elevation","342","HFR","WGS84","mean sea level","","","",""
"Bigelow_L","Bigelow Brook Lower Watershed","gs_lat","Latitude","","HFR","WGS84","mean sea level","","","",""
"Bigelow_L","Bigelow Brook Lower Watershed","gs_long","Longitude","","HFR","WGS84","mean sea level","","","",""
"Bigelow_U","Bigelow Brook Upper Watershed","gs_elev","Elevation","356","HFR","WGS84","mean sea level","","","",""
"Bigelow_U","Bigelow Brook Upper Watershed","gs_lat","Latitude","","HFR","WGS84","mean sea level","","","",""
"Bigelow_U","Bigelow Brook Upper Watershed","gs_long","Longitude","","HFR","WGS84","mean sea level","","","",""
"Fisher","Fisher Meteorological Station","ms_elev","Elevation","340","HFR","WGS84","mean sea level","","","",""
"Fisher","Fisher Meteorological Station","ms_lat","Latitude","+42.533","HFR","WGS84","mean sea level","","","",""
"Fisher","Fisher Meteorological Station","ms_long","Longitude","-72.190","HFR","WGS84","mean sea level","","","",""
"Nelson","Nelson Brook Stream Gage","gs_elev","Elevation","348","HFR","WGS84","mean sea level","","","",""
"Nelson","Nelson Brook Stream Gage","gs_lat","Latitude","","HFR","WGS84","mean sea level","","","",""
"Nelson","Nelson Brook Stream Gage","gs_long","Longitude","","HFR","WGS84","mean sea level","","","",""
"Shaler    ","Shaler Meteorological Station ","ms_elev","Elevation","330","HFR","WGS84","mean sea level","","","",""
"Shaler    ","Shaler Meteorological Station ","ms_lat","Latitude","+42.53","HFR","WGS84","mean sea level","","","",""
"Shaler    ","Shaler Meteorological Station ","ms_long","Longitude","-72.19","HFR","WGS84","mean sea level","","","",""
