"","res_site_name","descriptor_type_code","descriptor_type_name","descriptor_value","raw_parent_code","lat_long_ref","elevation_ref","local_x","local_y","position_accuracy","SiteType"
"06879650","Kings Creek (USGS)","gs_elev","Elevation","","KNZ","WGS84","mean sea level","","","",""
"06879650","Kings Creek (USGS)","gs_lat","Latitude","","KNZ","WGS84","mean sea level","","","",""
"06879650","Kings Creek (USGS)","gs_long","Longitude","","KNZ","WGS84","mean sea level","","","",""
"HQ1MET","Konza Headquarters ","ms_elev","Elevation","","KNZ","WGS84","mean sea level","","","",""
"HQ1MET","Konza Headquarters ","ms_lat","Latitude","","KNZ","WGS84","mean sea level","","","",""
"HQ1MET","Konza Headquarters ","ms_long","Longitude","","KNZ","WGS84","mean sea level","","","",""
"N01B","N01B","gs_elev","Elevation","376.1","KNZ","WGS84","mean sea level","","","",""
"N01B","N01B","gs_lat","Latitude","39.0867","KNZ","WGS84","mean sea level","","","",""
"N01B","N01B","gs_long","Longitude","-96.577","KNZ","WGS84","mean sea level","","","",""
"N02B","N02B","gs_elev","Elevation","362","KNZ","WGS84","mean sea level","","","",""
"N02B","N02B","gs_lat","Latitude","39.0898","KNZ","WGS84","mean sea level","","","",""
"N02B","N02B","gs_long","Longitude","-96.5886","KNZ","WGS84","mean sea level","","","",""
"N04D","N04D","gs_elev","Elevation","368.1","KNZ","WGS84","mean sea level","","","",""
"N04D","N04D","gs_lat","Latitude","39.0874","KNZ","WGS84","mean sea level","","","",""
"N04D","N04D","gs_long","Longitude","-96.5844","KNZ","WGS84","mean sea level","","","",""
"N20B","N20B","gs_elev","Elevation","374.2","KNZ","WGS84","mean sea level","","","",""
"N20B","N20B","gs_lat","Latitude","39.0886","KNZ","WGS84","mean sea level","","","",""
"N20B","N20B","gs_long","Longitude","-96.5766","KNZ","WGS84","mean sea level","","","",""
