"","res_site_name","descriptor_type_code","descriptor_type_name","descriptor_value","raw_parent_code","lat_long_ref","elevation_ref","local_x","local_y","position_accuracy","SiteType"
"aiken_f5","Aiken Creek","gs_elev","Elevation","19.861","MCM","WGS84","mean sea level","","","",""
"aiken_f5","Aiken Creek","gs_lat","Latitude","-77.602516","MCM","WGS84","mean sea level","","","",""
"aiken_f5","Aiken Creek","gs_long","Longitude","163.271937","MCM","WGS84","mean sea level","","","",""
"andrsn_h1","Andersen Creek","gs_elev","Elevation","78.23818","MCM","WGS84","mean sea level","","","",""
"andrsn_h1","Andersen Creek","gs_lat","Latitude","-77.622774","MCM","WGS84","mean sea level","","","",""
"andrsn_h1","Andersen Creek","gs_long","Longitude","162.90635","MCM","WGS84","mean sea level","","","",""
"BENM","Beacon Valley","ms_elev","Elevation","1176","MCM","WGS84","mean sea level","","","",""
"BENM","Beacon Valley","ms_lat","Latitude","-77.8280","MCM","WGS84","mean sea level","","","",""
"BENM","Beacon Valley","ms_long","Longitude","160.6568","MCM","WGS84","mean sea level","","","",""
"BOYM","Lake Bonney","ms_elev","Elevation","64.4","MCM","WGS84","mean sea level","","","",""
"BOYM","Lake Bonney","ms_lat","Latitude","-77.7144","MCM","WGS84","mean sea level","","","",""
"BOYM","Lake Bonney","ms_long","Longitude","162.4642","MCM","WGS84","mean sea level","","","",""
"BRHM","Lake Brownworth","ms_elev","Elevation","279.1","MCM","WGS84","mean sea level","","","",""
"BRHM","Lake Brownworth","ms_lat","Latitude","-77.4335","MCM","WGS84","mean sea level","","","",""
"BRHM","Lake Brownworth","ms_long","Longitude","162.7036","MCM","WGS84","mean sea level","","","",""
"CAAM","Canada Glacier","ms_elev","Elevation","264.43","MCM","WGS84","mean sea level","","","",""
"CAAM","Canada Glacier","ms_lat","Latitude","-77.6127","MCM","WGS84","mean sea level","","","",""
"CAAM","Canada Glacier","ms_long","Longitude","162.9635","MCM","WGS84","mean sea level","","","",""
"canada_f1","Canada Stream","gs_elev","Elevation","50.36089","MCM","WGS84","mean sea level","","","",""
"canada_f1","Canada Stream","gs_lat","Latitude","-77.613653","MCM","WGS84","mean sea level","","","",""
"canada_f1","Canada Stream","gs_long","Longitude","163.054733","MCM","WGS84","mean sea level","","","",""
"COHM","Commonwealth Glacier","ms_elev","Elevation","290.24","MCM","WGS84","mean sea level","","","",""
"COHM","Commonwealth Glacier","ms_lat","Latitude","-77.5637","MCM","WGS84","mean sea level","","","",""
"COHM","Commonwealth Glacier","ms_long","Longitude","163.2801","MCM","WGS84","mean sea level","","","",""
"common_c1","Commonwealth Stream","gs_elev","Elevation","","MCM","WGS84","mean sea level","","","",""
"common_c1","Commonwealth Stream","gs_lat","Latitude","-77.563333","MCM","WGS84","mean sea level","","","",""
"common_c1","Commonwealth Stream","gs_long","Longitude","163.380833","MCM","WGS84","mean sea level","","","",""
"cresc_f8","Crescent Stream","gs_elev","Elevation","23.19882","MCM","WGS84","mean sea level","","","",""
"cresc_f8","Crescent Stream","gs_lat","Latitude","-77.619066","MCM","WGS84","mean sea level","","","",""
"cresc_f8","Crescent Stream","gs_long","Longitude","163.184466","MCM","WGS84","mean sea level","","","",""
"delta_f10","Delta Stream","gs_elev","Elevation","22.96211","MCM","WGS84","mean sea level","","","",""
"delta_f10","Delta Stream","gs_lat","Latitude","-77.624619","MCM","WGS84","mean sea level","","","",""
"delta_f10","Delta Stream","gs_long","Longitude","163.108449","MCM","WGS84","mean sea level","","","",""
"EXEM","Explorers Cove","ms_elev","Elevation","25.75","MCM","WGS84","mean sea level","","","",""
"EXEM","Explorers Cove","ms_lat","Latitude","-77.5887","MCM","WGS84","mean sea level","","","",""
"EXEM","Explorers Cove","ms_long","Longitude","163.4175","MCM","WGS84","mean sea level","","","",""
"FRLM","Lake Fryxell","ms_elev","Elevation","19","MCM","WGS84","mean sea level","","","",""
"FRLM","Lake Fryxell","ms_lat","Latitude","-77.176","MCM","WGS84","mean sea level","","","",""
"FRLM","Lake Fryxell","ms_long","Longitude","163.1696","MCM","WGS84","mean sea level","","","",""
