"res_site_code","res_site_name","descriptor_type_code","descriptor_type_name","descriptor_value","raw_parent_code","lat_long_ref","elevation_ref","local_x","local_y","position_accuracy","SiteType"
"05357215","ALLEQUASH CREEK AT CTH M NR BOULDER JUNCTION, WI (USGS)","gs_elev","Elevation","","NTL","WGS84","mean sea level","","","",""
"05357215","ALLEQUASH CREEK AT CTH M NR BOULDER JUNCTION, WI (USGS)","gs_lat","Latitude","","NTL","WGS84","mean sea level","","","",""
"05357215","ALLEQUASH CREEK AT CTH M NR BOULDER JUNCTION, WI (USGS)","gs_long","Longitude","","NTL","WGS84","mean sea level","","","",""
"05357225","STEVENSON CREEK AT CTH M NR BOULDER JUNCTION, WI (USGS)","gs_elev","Elevation","","NTL","WGS84","mean sea level","","","",""
"05357225","STEVENSON CREEK AT CTH M NR BOULDER JUNCTION, WI (USGS)","gs_lat","Latitude","","NTL","WGS84","mean sea level","","","",""
"05357225","STEVENSON CREEK AT CTH M NR BOULDER JUNCTION, WI (USGS)","gs_long","Longitude","","NTL","WGS84","mean sea level","","","",""
"05357230","NORTH CREEK @ TROUT LAKE NR BOULDER JUNCTION, WI (USGS)","gs_elev","Elevation","","NTL","WGS84","mean sea level","","","",""
"05357230","NORTH CREEK @ TROUT LAKE NR BOULDER JUNCTION, WI (USGS)","gs_lat","Latitude","","NTL","WGS84","mean sea level","","","",""
"05357230","NORTH CREEK @ TROUT LAKE NR BOULDER JUNCTION, WI (USGS)","gs_long","Longitude","","NTL","WGS84","mean sea level","","","",""
"05357245","TROUT RIVER @ TROUT LAKE NR BOULDER JUNCTION, WI (USGS)","gs_elev","Elevation","","NTL","WGS84","mean sea level","","","",""
"05357245","TROUT RIVER @ TROUT LAKE NR BOULDER JUNCTION, WI (USGS)","gs_lat","Latitude","","NTL","WGS84","mean sea level","","","",""
"05357245","TROUT RIVER @ TROUT LAKE NR BOULDER JUNCTION, WI (USGS)","gs_long","Longitude","","NTL","WGS84","mean sea level","","","",""
"05427718","YAHARA RIVER AT WINDSOR, WI (USGS)","gs_elev","Elevation","","NTL","WGS84","mean sea level","","","",""
"05427718","YAHARA RIVER AT WINDSOR, WI (USGS)","gs_lat","Latitude","","NTL","WGS84","mean sea level","","","",""
"05427718","YAHARA RIVER AT WINDSOR, WI (USGS)","gs_long","Longitude","","NTL","WGS84","mean sea level","","","",""
"05427948","PHEASANT BRANCH AT MIDDLETON, WI (USGS)","gs_elev","Elevation","","NTL","WGS84","mean sea level","","","",""
"05427948","PHEASANT BRANCH AT MIDDLETON, WI (USGS)","gs_lat","Latitude","","NTL","WGS84","mean sea level","","","",""
"05427948","PHEASANT BRANCH AT MIDDLETON, WI (USGS)","gs_long","Longitude","","NTL","WGS84","mean sea level","","","",""
"05427965","SPRING HARBOR STORM SEWER AT MADISON, WI (USGS)","gs_elev","Elevation","","NTL","WGS84","mean sea level","","","",""
"05427965","SPRING HARBOR STORM SEWER AT MADISON, WI (USGS)","gs_lat","Latitude","","NTL","WGS84","mean sea level","","","",""
"05427965","SPRING HARBOR STORM SEWER AT MADISON, WI (USGS)","gs_long","Longitude","","NTL","WGS84","mean sea level","","","",""
"AIRPORTWOO","Noble F. Lee Municipal airport north of Minocqua","ms_elev","Elevation","500","NTL","WGS84","mean sea level","","","",""
"AIRPORTWOO","Noble F. Lee Municipal airport north of Minocqua","ms_lat","Latitude","45.928","NTL","WGS84","mean sea level","","","",""
"AIRPORTWOO","Noble F. Lee Municipal airport north of Minocqua","ms_long","Longitude","-89.371","NTL","WGS84","mean sea level","","","",""
"MADISON01","Madison raw climate data","ms_elev","Elevation","261.5","NTL","WGS84","mean sea level","","","",""
"MADISON01","Madison raw climate data","ms_lat","Latitude","","NTL","WGS84","mean sea level","","","",""
"MADISON01","Madison raw climate data","ms_long","Longitude","","NTL","WGS84","mean sea level","","","",""
"MADISON01A","Madison adjusted climate data","ms_elev","Elevation","261.5","NTL","WGS84","mean sea level","","","",""
"MADISON01A","Madison adjusted climate data","ms_lat","Latitude","+43.1","NTL","WGS84","mean sea level","","","",""
"MADISON01A","Madison adjusted climate data","ms_long","Longitude","-89.3","NTL","WGS84","mean sea level","","","",""
"MINOCQUA","MINOCQUA","ms_elev","Elevation","490","NTL","WGS84","mean sea level","","","",""
"MINOCQUA","MINOCQUA","ms_lat","Latitude","+45.874","NTL","WGS84","mean sea level","","","",""
"MINOCQUA","MINOCQUA","ms_long","Longitude","-89.727","NTL","WGS84","mean sea level","","","",""
