"res_site_code","res_site_name","descriptor_type_code","descriptor_type_name","descriptor_value","raw_parent_code","lat_long_ref","elevation_ref","local_x","local_y","position_accuracy","SiteType"
"ALBION","Albion Townsite","gs_elev","Elevation","3259","NWT","WGS84","mean sea level","","","",""
"ALBION","Albion Townsite","gs_lat","Latitude","40.0428","NWT","WGS84","mean sea level","","","",""
"ALBION","Albion Townsite","gs_long","Longitude","-105.5922","NWT","WGS84","mean sea level","","","",""
"C1","C-1 Meterological Station","ms_elev","Elevation","3022","NWT","WGS84","mean sea level","","","",""
"C1","C-1 Meterological Station","ms_lat","Latitude","40.0363","NWT","WGS84","mean sea level","","","",""
"C1","C-1 Meterological Station","ms_long","Longitude","-105.5435","NWT","WGS84","mean sea level","","","",""
"D1","D-1 Meterological Station","ms_elev","Elevation","3739","NWT","WGS84","mean sea level","","","",""
"D1","D-1 Meterological Station","ms_lat","Latitude","40.0597","NWT","WGS84","mean sea level","","","",""
"D1","D-1 Meterological Station","ms_long","Longitude","-105.6169","NWT","WGS84","mean sea level","","","",""
"GL4","Green Lakes 4","gs_elev","Elevation","3560","NWT","WGS84","mean sea level","","","",""
"GL4","Green Lakes 4","gs_lat","Latitude","40.0558","NWT","WGS84","mean sea level","","","",""
"GL4","Green Lakes 4","gs_long","Longitude","-105.6171","NWT","WGS84","mean sea level","","","",""
"SADDLE","SADDLE","ms_elev","Elevation","3528","NWT","WGS84","mean sea level","","","",""
"SADDLE","SADDLE","ms_lat","Latitude","40.0547","NWT","WGS84","mean sea level","","","",""
"SADDLE","SADDLE","ms_long","Longitude","-105.5892","NWT","WGS84","mean sea level","","","",""
