"","res_site_name","descriptor_type_code","descriptor_type_name","descriptor_value","raw_parent_code","lat_long_ref","elevation_ref","local_x","local_y","position_accuracy","SiteType"
"Calawah_R","Calawah river (USGS 12043000)","gs_elev","Elevation","61.4","OLY","WGS84","mean sea level","","","",""
"Calawah_R","Calawah river (USGS 12043000)","gs_lat","Latitude","47.96007697","OLY","WGS84","mean sea level","","","",""
"Calawah_R","Calawah river (USGS 12043000)","gs_long","Longitude","-124.39298720","OLY","WGS84","mean sea level","","","",""
"Forks_1E","Forks 1 E (452914) ","ms_elev","Elevation","106.7","OLY","WGS84","mean sea level","","","",""
"Forks_1E","Forks 1 E (452914) ","ms_lat","Latitude","47.9558","OLY","WGS84","mean sea level","","","",""
"Forks_1E","Forks 1 E (452914) ","ms_long","Longitude","-124.3539","OLY","WGS84","mean sea level","","","",""
"Hoh_R","Hoh river (USGS 12041200)","gs_elev","Elevation","49.9","OLY","WGS84","mean sea level","","","",""
"Hoh_R","Hoh river (USGS 12041200)","gs_lat","Latitude","47.80674726","OLY","WGS84","mean sea level","","","",""
"Hoh_R","Hoh river (USGS 12041200)","gs_long","Longitude","-124.25103290","OLY","WGS84","mean sea level","","","",""
"Hoh_Rs","Hoh Rs (453710) ","ms_elev","Elevation","174.3","OLY","WGS84","mean sea level","","","",""
"Hoh_Rs","Hoh Rs (453710) ","ms_lat","Latitude","47.8611","OLY","WGS84","mean sea level","","","",""
"Hoh_Rs","Hoh Rs (453710) ","ms_long","Longitude","-123.9319","OLY","WGS84","mean sea level","","","",""
"Hoko_R","Hoko river (USGS 12043300)","gs_elev","Elevation","15.2","OLY","WGS84","mean sea level","","","",""
"Hoko_R","Hoko river (USGS 12043300)","gs_lat","Latitude","48.24146416","OLY","WGS84","mean sea level","","","",""
"Hoko_R","Hoko river (USGS 12043300)","gs_long","Longitude","-124.38383280","OLY","WGS84","mean sea level","","","",""
"Queets_R","Queets river (USGS 12040500)","gs_elev","Elevation","4.4","OLY","WGS84","mean sea level","","","",""
"Queets_R","Queets river (USGS 12040500)","gs_lat","Latitude","47.5378588","OLY","WGS84","mean sea level","","","",""
"Queets_R","Queets river (USGS 12040500)","gs_long","Longitude","-124.3157457","OLY","WGS84","mean sea level","","","",""
"Quillay_AP","Quillayute State Airport (456858) ","ms_elev","Elevation","56.4","OLY","WGS84","mean sea level","","","",""
"Quillay_AP","Quillayute State Airport (456858) ","ms_lat","Latitude","47.93417","OLY","WGS84","mean sea level","","","",""
"Quillay_AP","Quillayute State Airport (456858) ","ms_long","Longitude","-124.56083","OLY","WGS84","mean sea level","","","",""
"Quinault_R","Quinault river (USGS 12039500)","gs_elev","Elevation","54.4","OLY","WGS84","mean sea level","","","",""
"Quinault_R","Quinault river (USGS 12039500)","gs_lat","Latitude","47.45758630","OLY","WGS84","mean sea level","","","",""
"Quinault_R","Quinault river (USGS 12039500)","gs_long","Longitude","-123.88934460","OLY","WGS84","mean sea level","","","",""
