"res_site_code","res_site_name","descriptor_type_code","descriptor_type_name","descriptor_value","raw_parent_code","lat_long_ref","elevation_ref","local_x","local_y","position_accuracy","SiteType"
"GDA","Governor Dummer","ms_elev","Elevation","Site is 3 meters above MSL","PIE","WGS84","mean sea level","","","",""
"GDA","Governor Dummer","ms_lat","Latitude","42.7515","PIE","WGS84","mean sea level","","","",""
"GDA","Governor Dummer","ms_long","Longitude","70.9024","PIE","WGS84","mean sea level","","","",""
"IP1101500","Ipswich River at South Middleton MA (USGS)","gs_elev","Elevation","13.7069","PIE","WGS84","mean sea level","","","",""
"IP1101500","Ipswich River at South Middleton MA (USGS)","gs_lat","Latitude","42.5694","PIE","WGS84","mean sea level","","","",""
"IP1101500","Ipswich River at South Middleton MA (USGS)","gs_long","Longitude","71.0275","PIE","WGS84","mean sea level","","","",""
"IP1102000","Ipswich River near Ipswich MA (USGS)","gs_elev","Elevation","6.2880","PIE","WGS84","mean sea level","","","",""
"IP1102000","Ipswich River near Ipswich MA (USGS)","gs_lat","Latitude","42.6597","PIE","WGS84","mean sea level","","","",""
"IP1102000","Ipswich River near Ipswich MA (USGS)","gs_long","Longitude","70.8942","PIE","WGS84","mean sea level","","","",""
"LOG","Boston Logan International Airport, Boston, MA","ms_elev","Elevation","6.1","PIE","WGS84","mean sea level","","","",""
"LOG","Boston Logan International Airport, Boston, MA","ms_lat","Latitude","42.3670","PIE","WGS84","mean sea level","","","",""
"LOG","Boston Logan International Airport, Boston, MA","ms_long","Longitude","-71.0167","PIE","WGS84","mean sea level","","","",""
"MFM","Marshview Farm Field Station","ms_elev","Elevation","Site is 3 meters above MSL","PIE","WGS84","mean sea level","","","",""
"MFM","Marshview Farm Field Station","ms_lat","Latitude","42.7570","PIE","WGS84","mean sea level","","","",""
"MFM","Marshview Farm Field Station","ms_long","Longitude","-70.8914","PIE","WGS84","mean sea level","","","",""
"PR1101000","Parker River at Byefield MA (USGS)","gs_elev","Elevation","7.1506","PIE","WGS84","mean sea level","","","",""
"PR1101000","Parker River at Byefield MA (USGS)","gs_lat","Latitude","42.7528","PIE","WGS84","mean sea level","","","",""
"PR1101000","Parker River at Byefield MA (USGS)","gs_long","Longitude","70.9461","PIE","WGS84","mean sea level","","","",""
"PR1101000","Parker River at Byefield MA (USGS)","ms_elev","Elevation","","PIE","WGS84","mean sea level","","","",""
"PR1101000","Parker River at Byefield MA (USGS)","ms_lat","Latitude","","PIE","WGS84","mean sea level","","","",""
"PR1101000","Parker River at Byefield MA (USGS)","ms_long","Longitude","","PIE","WGS84","mean sea level","","","",""
