"","res_site_name","descriptor_type_code","descriptor_type_name","descriptor_value","raw_parent_code","lat_long_ref","elevation_ref","local_x","local_y","position_accuracy","SiteType"
"BLUEGRAMA","Blue Grama (50)","ms_elev","Elevation","1669","SEV","WGS84","mean sea level","","","",""
"BLUEGRAMA","Blue Grama (50)","ms_lat","Latitude","34.33500","SEV","WGS84","mean sea level","","","",""
"BLUEGRAMA","Blue Grama (50)","ms_long","Longitude","-106.63200","SEV","WGS84","mean sea level","","","",""
"BRONCOWELL","Bronco Well (45)","ms_elev","Elevation","1547","SEV","WGS84","mean sea level","","","",""
"BRONCOWELL","Bronco Well (45)","ms_lat","Latitude","34.4056","SEV","WGS84","mean sea level","","","",""
"BRONCOWELL","Bronco Well (45)","ms_long","Longitude","-106.9340","SEV","WGS84","mean sea level","","","",""
"DEEPWELL","Deepwell (40)","ms_elev","Elevation","1600","SEV","WGS84","mean sea level","","","",""
"DEEPWELL","Deepwell (40)","ms_lat","Latitude","34.3586","SEV","WGS84","mean sea level","","","",""
"DEEPWELL","Deepwell (40)","ms_long","Longitude","-106.6911","SEV","WGS84","mean sea level","","","",""
"FIELDSTN","Field Station (01)","ms_elev","Elevation","1466","SEV","WGS84","mean sea level","","","",""
"FIELDSTN","Field Station (01)","ms_lat","Latitude","34.3560","SEV","WGS84","mean sea level","","","",""
"FIELDSTN","Field Station (01)","ms_long","Longitude"," -106.8853","SEV","WGS84","mean sea level","","","",""
"FIVEPOINTS","Five Points (49)","ms_elev","Elevation","1610","SEV","WGS84","mean sea level","","","",""
"FIVEPOINTS","Five Points (49)","ms_lat","Latitude","34.3350","SEV","WGS84","mean sea level","","","",""
"FIVEPOINTS","Five Points (49)","ms_long","Longitude","-106.7293","SEV","WGS84","mean sea level","","","",""
"Gila_R","Gila River (USGS 9430500)","gs_elev","Elevation","4,654.80 feet above sea level","SEV","WGS84","mean sea level","","","",""
"Gila_R","Gila River (USGS 9430500)","gs_lat","Latitude","33.06150","SEV","WGS84","mean sea level","","","",""
"Gila_R","Gila River (USGS 9430500)","gs_long","Longitude","108.53740","SEV","WGS84","mean sea level","","","",""
"Jemez_R","Jemez River (USGS 8324000)","gs_elev","Elevation","5,622.00 feet above sea level","SEV","WGS84","mean sea level","","","",""
"Jemez_R","Jemez River (USGS 8324000)","gs_lat","Latitude","35.66198","SEV","WGS84","mean sea level","","","",""
"Jemez_R","Jemez River (USGS 8324000)","gs_long","Longitude","106.74340","SEV","WGS84","mean sea level","","","",""
"MONTOSO","Montoso (42)","ms_elev","Elevation","1971","SEV","WGS84","mean sea level","","","",""
"MONTOSO","Montoso (42)","ms_lat","Latitude","34.3685","SEV","WGS84","mean sea level","","","",""
"MONTOSO","Montoso (42)","ms_long","Longitude","-106.5355","SEV","WGS84","mean sea level","","","",""
"Pecos_R","Pecos River (USGS 8378500)","gs_elev","Elevation","7,502.94 feet above sea level","SEV","WGS84","mean sea level","","","",""
"Pecos_R","Pecos River (USGS 8378500)","gs_lat","Latitude","35.70835","SEV","WGS84","mean sea level","","","",""
"Pecos_R","Pecos River (USGS 8378500)","gs_long","Longitude","105.68270","SEV","WGS84","mean sea level","","","",""
"REDTANK","Red Tank (43)","ms_elev","Elevation","1766","SEV","WGS84","mean sea level","","","",""
"REDTANK","Red Tank (43)","ms_lat","Latitude","34.3982","SEV","WGS84","mean sea level","","","",""
"REDTANK","Red Tank (43)","ms_long","Longitude","-107.0374","SEV","WGS84","mean sea level","","","",""
"Rio_G","Rio Grande (USGS 08313000)","gs_elev","Elevation","5,488.48 feet above sea level","SEV","WGS84","mean sea level","","","",""
"Rio_G","Rio Grande (USGS 08313000)","gs_lat","Latitude","35.87450","SEV","WGS84","mean sea level","","","",""
"Rio_G","Rio Grande (USGS 08313000)","gs_long","Longitude","106.14240","SEV","WGS84","mean sea level","","","",""
"RIOSALADO","Rio Salado (44)","ms_elev","Elevation","1503","SEV","WGS84","mean sea level","","","",""
"RIOSALADO","Rio Salado (44)","ms_lat","Latitude","34.2960","SEV","WGS84","mean sea level","","","",""
"RIOSALADO","Rio Salado (44)","ms_long","Longitude","-106.9267","SEV","WGS84","mean sea level","","","",""
"SAVANNA","Savanna (48)","ms_elev","Elevation","1796","SEV","WGS84","mean sea level","","","",""
"SAVANNA","Savanna (48)","ms_lat","Latitude","34.4147","SEV","WGS84","mean sea level","","","",""
"SAVANNA","Savanna (48)","ms_long","Longitude","-106.5234","SEV","WGS84","mean sea level","","","",""
"SOUTHGATE","Southgate (41)","ms_elev","Elevation","1538","SEV","WGS84","mean sea level","","","",""
"SOUTHGATE","Southgate (41)","ms_lat","Latitude","34.2167","SEV","WGS84","mean sea level","","","",""
"SOUTHGATE","Southgate (41)","ms_long","Longitude","-106.7954","SEV","WGS84","mean sea level","","","",""
