"res_site_id","site_id","site_code","station","variable","year","month","aggregate_type","value","num_get","num_e","last_update"
"43","1","AND","CS2MET","PREC","0","1","MAX","136.4","1829","73","2019-03-14T11:33:56.700Z"
"43","1","AND","CS2MET","PREC","0","1","MEAN","11.3296","1829","73","2019-03-14T11:33:53.043Z"
"43","1","AND","CS2MET","PREC","0","1","MIN","0","1829","73","2019-03-14T11:33:56.246Z"
"43","1","AND","CS2MET","PREC","0","1","TOTAL","351.219","1829","73","2019-03-14T11:33:57.120Z"
"43","1","AND","CS2MET","PREC","0","2","MAX","138.9","1664","60","2019-03-14T11:33:56.700Z"
"43","1","AND","CS2MET","PREC","0","2","MEAN","9.16562","1664","60","2019-03-14T11:33:53.043Z"
"43","1","AND","CS2MET","PREC","0","2","MIN","0","1664","60","2019-03-14T11:33:56.246Z"
"43","1","AND","CS2MET","PREC","0","2","TOTAL","258.502","1664","60","2019-03-14T11:33:57.120Z"
"43","1","AND","CS2MET","PREC","0","3","MAX","97.3","1829","29","2019-03-14T11:33:56.700Z"
"43","1","AND","CS2MET","PREC","0","3","MEAN","8.32198","1829","29","2019-03-14T11:33:53.043Z"
"43","1","AND","CS2MET","PREC","0","3","MIN","0","1829","29","2019-03-14T11:33:56.246Z"
"43","1","AND","CS2MET","PREC","0","3","TOTAL","257.981","1829","29","2019-03-14T11:33:57.120Z"
"43","1","AND","CS2MET","PREC","0","4","MAX","123.4","1770","10","2019-03-14T11:33:56.700Z"
"43","1","AND","CS2MET","PREC","0","4","MEAN","5.74469","1770","10","2019-03-14T11:33:53.043Z"
"43","1","AND","CS2MET","PREC","0","4","MIN","0","1770","10","2019-03-14T11:33:56.246Z"
"43","1","AND","CS2MET","PREC","0","4","TOTAL","172.341","1770","10","2019-03-14T11:33:57.120Z"
"43","1","AND","CS2MET","PREC","0","5","MAX","63.2","1829","25","2019-03-14T11:33:56.700Z"
"43","1","AND","CS2MET","PREC","0","5","MEAN","3.82482","1829","25","2019-03-14T11:33:53.043Z"
"43","1","AND","CS2MET","PREC","0","5","MIN","0","1829","25","2019-03-14T11:33:56.246Z"
"43","1","AND","CS2MET","PREC","0","5","TOTAL","118.569","1829","25","2019-03-14T11:33:57.120Z"
"43","1","AND","CS2MET","PREC","0","6","MAX","75.7","1770","14","2019-03-14T11:33:56.700Z"
"43","1","AND","CS2MET","PREC","0","6","MEAN","2.24718","1770","14","2019-03-14T11:33:53.043Z"
"43","1","AND","CS2MET","PREC","0","6","MIN","0","1770","14","2019-03-14T11:33:56.246Z"
"43","1","AND","CS2MET","PREC","0","6","TOTAL","67.4153","1770","14","2019-03-14T11:33:57.120Z"
"43","1","AND","CS2MET","PREC","0","7","MAX","34.8","1829","0","2019-03-14T11:33:56.700Z"
"43","1","AND","CS2MET","PREC","0","7","MEAN","0.500929","1829","0","2019-03-14T11:33:53.043Z"
"43","1","AND","CS2MET","PREC","0","7","MIN","0","1829","0","2019-03-14T11:33:56.246Z"
"43","1","AND","CS2MET","PREC","0","7","TOTAL","15.5288","1829","0","2019-03-14T11:33:57.120Z"
"43","1","AND","CS2MET","PREC","0","8","MAX","49.8","1828","0","2019-03-14T11:33:56.700Z"
"43","1","AND","CS2MET","PREC","0","8","MEAN","0.939278","1828","0","2019-03-14T11:33:53.043Z"
"43","1","AND","CS2MET","PREC","0","8","MIN","0","1828","0","2019-03-14T11:33:56.246Z"
"43","1","AND","CS2MET","PREC","0","8","TOTAL","29.1017","1828","0","2019-03-14T11:33:57.120Z"
"43","1","AND","CS2MET","PREC","0","9","MAX","68.7","1752","1","2019-03-14T11:33:56.700Z"
"43","1","AND","CS2MET","PREC","0","9","MEAN","2.43288","1752","1","2019-03-14T11:33:53.043Z"
"43","1","AND","CS2MET","PREC","0","9","MIN","0","1752","1","2019-03-14T11:33:56.246Z"
"43","1","AND","CS2MET","PREC","0","9","TOTAL","72.2441","1752","1","2019-03-14T11:33:57.120Z"
"43","1","AND","CS2MET","PREC","0","10","MAX","95","1829","6","2019-03-14T11:33:56.700Z"
"43","1","AND","CS2MET","PREC","0","10","MEAN","5.38611","1829","6","2019-03-14T11:33:53.043Z"
"43","1","AND","CS2MET","PREC","0","10","MIN","0","1829","6","2019-03-14T11:33:56.246Z"
"43","1","AND","CS2MET","PREC","0","10","TOTAL","166.969","1829","6","2019-03-14T11:33:57.120Z"
"43","1","AND","CS2MET","PREC","0","11","MAX","166.6","1770","42","2019-03-14T11:33:56.700Z"
"43","1","AND","CS2MET","PREC","0","11","MEAN","11.9208","1770","42","2019-03-14T11:33:53.043Z"
"43","1","AND","CS2MET","PREC","0","11","MIN","0","1770","42","2019-03-14T11:33:56.246Z"
"43","1","AND","CS2MET","PREC","0","11","TOTAL","357.625","1770","42","2019-03-14T11:33:57.120Z"
"43","1","AND","CS2MET","PREC","0","12","MAX","148.6","1828","53","2019-03-14T11:33:56.700Z"
"43","1","AND","CS2MET","PREC","0","12","MEAN","12.6399","1828","53","2019-03-14T11:33:53.043Z"
"43","1","AND","CS2MET","PREC","0","12","MIN","0","1828","53","2019-03-14T11:33:56.246Z"
"43","1","AND","CS2MET","PREC","0","12","TOTAL","391.622","1828","53","2019-03-14T11:33:57.120Z"
"43","1","AND","CS2MET","PREC","1957","10","MAX","27.4","31","0","2019-03-14T11:33:54.340Z"
"43","1","AND","CS2MET","PREC","1957","10","MEAN","4.8","31","0","2019-03-14T11:33:52.013Z"
"43","1","AND","CS2MET","PREC","1957","10","MIN","0","31","0","2019-03-14T11:33:53.746Z"
"43","1","AND","CS2MET","PREC","1957","10","TOTAL","148.8","31","0","2019-03-14T11:33:53.480Z"
"43","1","AND","CS2MET","PREC","1957","11","MAX","71.4","30","0","2019-03-14T11:33:54.340Z"
"43","1","AND","CS2MET","PREC","1957","11","MEAN","7.95667","30","0","2019-03-14T11:33:52.013Z"
"43","1","AND","CS2MET","PREC","1957","11","MIN","0","30","0","2019-03-14T11:33:53.746Z"
"43","1","AND","CS2MET","PREC","1957","11","TOTAL","238.7","30","0","2019-03-14T11:33:53.480Z"
"43","1","AND","CS2MET","PREC","1957","12","MAX","148.6","31","1","2019-03-14T11:33:54.340Z"
"43","1","AND","CS2MET","PREC","1957","12","MEAN","25.4968","31","1","2019-03-14T11:33:52.013Z"
"43","1","AND","CS2MET","PREC","1957","12","MIN","0","31","1","2019-03-14T11:33:53.746Z"
"43","1","AND","CS2MET","PREC","1957","12","TOTAL","790.4","31","1","2019-03-14T11:33:53.480Z"
"43","1","AND","CS2MET","PREC","1957","99","MAX","148.6","92","1","2019-03-14T11:33:55.763Z"
"43","1","AND","CS2MET","PREC","1957","99","MEAN","12.8033","92","1","2019-03-14T11:33:52.573Z"
"43","1","AND","CS2MET","PREC","1957","99","MIN","0","92","1","2019-03-14T11:33:55.310Z"
"43","1","AND","CS2MET","PREC","1957","99","TOTAL","1177.9","92","1","2019-03-14T11:33:55.123Z"
"43","1","AND","CS2MET","PREC","1958","1","MAX","44.5","31","3","2019-03-14T11:33:54.340Z"
"43","1","AND","CS2MET","PREC","1958","1","MEAN","12.5","31","3","2019-03-14T11:33:52.013Z"
"43","1","AND","CS2MET","PREC","1958","1","MIN","0","31","3","2019-03-14T11:33:53.746Z"
"43","1","AND","CS2MET","PREC","1958","1","TOTAL","387.5","31","3","2019-03-14T11:33:53.480Z"
"43","1","AND","CS2MET","PREC","1958","2","MAX","87.4","28","0","2019-03-14T11:33:54.340Z"
"43","1","AND","CS2MET","PREC","1958","2","MEAN","15.9643","28","0","2019-03-14T11:33:52.013Z"
"43","1","AND","CS2MET","PREC","1958","2","MIN","0","28","0","2019-03-14T11:33:53.746Z"
"43","1","AND","CS2MET","PREC","1958","2","TOTAL","447","28","0","2019-03-14T11:33:53.480Z"
"43","1","AND","CS2MET","PREC","1958","3","MAX","16.8","31","0","2019-03-14T11:33:54.340Z"
"43","1","AND","CS2MET","PREC","1958","3","MEAN","3.68387","31","0","2019-03-14T11:33:52.013Z"
"43","1","AND","CS2MET","PREC","1958","3","MIN","0","31","0","2019-03-14T11:33:53.746Z"
"43","1","AND","CS2MET","PREC","1958","3","TOTAL","114.2","31","0","2019-03-14T11:33:53.480Z"
"43","1","AND","CS2MET","PREC","1958","4","MAX","39.6","30","0","2019-03-14T11:33:54.340Z"
"43","1","AND","CS2MET","PREC","1958","4","MEAN","7.55667","30","0","2019-03-14T11:33:52.013Z"
"43","1","AND","CS2MET","PREC","1958","4","MIN","0","30","0","2019-03-14T11:33:53.746Z"
"43","1","AND","CS2MET","PREC","1958","4","TOTAL","226.7","30","0","2019-03-14T11:33:53.480Z"
"43","1","AND","CS2MET","PREC","1958","5","MAX","17.8","31","0","2019-03-14T11:33:54.340Z"
"43","1","AND","CS2MET","PREC","1958","5","MEAN","1.86129","31","0","2019-03-14T11:33:52.013Z"
"43","1","AND","CS2MET","PREC","1958","5","MIN","0","31","0","2019-03-14T11:33:53.746Z"
"43","1","AND","CS2MET","PREC","1958","5","TOTAL","57.7","31","0","2019-03-14T11:33:53.480Z"
"43","1","AND","CS2MET","PREC","1958","6","MAX","25.9","30","0","2019-03-14T11:33:54.340Z"
