"res_site_id","site_id","site_code","station","variable","first_seen","most_recent","last_update"
"43","1","AND","CS2MET","PREC","1957-10-01T00:00:00.000Z","2016-09-12T00:00:00.000Z","2019-03-14T11:33:51.326Z"
"43","1","AND","CS2MET","RH","1958-02-03T00:00:00.000Z","2016-02-08T00:00:00.000Z","2018-03-19T13:37:23.983Z"
"43","1","AND","CS2MET","TMAX","1957-10-01T00:00:00.000Z","2016-02-08T00:00:00.000Z","2018-03-19T13:37:18.860Z"
"43","1","AND","CS2MET","TMEA","1957-10-01T00:00:00.000Z","2016-02-08T00:00:00.000Z","2018-03-19T13:37:18.860Z"
"43","1","AND","CS2MET","TMIN","1957-10-01T00:00:00.000Z","2016-02-08T00:00:00.000Z","2018-03-19T13:37:18.860Z"
"45","1","AND","PRIMET","GRAD","1972-05-10T00:00:00.000Z","2015-06-02T00:00:00.000Z","2017-06-06T09:35:31.653Z"
"45","1","AND","PRIMET","PREC","1979-01-01T00:00:00.000Z","2016-10-10T00:00:00.000Z","2018-03-19T13:37:23.983Z"
"45","1","AND","PRIMET","RH","1988-07-06T00:00:00.000Z","2016-12-31T00:00:00.000Z","2018-03-19T13:37:23.983Z"
"45","1","AND","PRIMET","RWSP","1988-07-08T00:00:00.000Z","2015-05-27T00:00:00.000Z","2018-03-19T13:37:23.983Z"
"45","1","AND","PRIMET","TMAX","1972-06-01T00:00:00.000Z","2016-12-31T00:00:00.000Z","2018-03-19T13:37:18.860Z"
"45","1","AND","PRIMET","TMEA","1972-06-01T00:00:00.000Z","2016-12-31T00:00:00.000Z","2018-03-19T13:37:18.860Z"
"45","1","AND","PRIMET","TMIN","1972-06-01T00:00:00.000Z","2016-12-31T00:00:00.000Z","2018-03-19T13:37:18.860Z"
"45","1","AND","PRIMET","WDIR","1988-07-08T00:00:00.000Z","2015-05-27T00:00:00.000Z","2018-03-19T13:37:23.983Z"
"45","1","AND","PRIMET","WSP","1973-05-23T00:00:00.000Z","2015-05-27T00:00:00.000Z","2018-03-19T13:37:23.983Z"
"46","2","ARC","TLKMAIN","GRAD","1988-06-01T00:00:00.000Z","2008-12-31T00:00:00.000Z","2010-04-12T10:32:45.426Z"
"46","2","ARC","TLKMAIN","PREC","1988-06-01T00:00:00.000Z","2018-12-31T00:00:00.000Z","2019-04-30T12:46:46.066Z"
"46","2","ARC","TLKMAIN","TMAX","1988-06-01T00:00:00.000Z","2018-12-31T00:00:00.000Z","2019-04-30T12:46:46.066Z"
"46","2","ARC","TLKMAIN","TMEA","1988-06-01T00:00:00.000Z","2018-12-31T00:00:00.000Z","2019-04-30T12:46:46.066Z"
"46","2","ARC","TLKMAIN","TMIN","1988-06-01T00:00:00.000Z","2018-12-31T00:00:00.000Z","2019-04-30T12:46:46.066Z"
"46","2","ARC","TLKMAIN","WSP","1988-06-01T00:00:00.000Z","2011-12-31T00:00:00.000Z","2013-05-14T14:53:08.430Z"
"47","4","BNZ","LTER1","ATM","1995-06-01T00:00:00.000Z","2008-12-19T00:00:00.000Z","2009-10-26T00:50:45.466Z"
"47","4","BNZ","LTER1","DEW","2004-03-30T00:00:00.000Z","2008-12-19T00:00:00.000Z","2009-10-26T00:50:45.466Z"
"47","4","BNZ","LTER1","PREC","1989-05-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","2018-10-09T11:10:02.356Z"
"47","4","BNZ","LTER1","RH","1988-06-01T00:00:00.000Z","2016-12-31T00:00:00.000Z","2018-10-09T11:10:02.356Z"
"47","4","BNZ","LTER1","RWDI","1988-06-01T00:00:00.000Z","2016-12-31T00:00:00.000Z","2018-10-09T11:10:02.356Z"
"47","4","BNZ","LTER1","RWSP","1988-06-01T00:00:00.000Z","2016-12-31T00:00:00.000Z","2018-10-09T11:10:02.356Z"
"47","4","BNZ","LTER1","SMAX","1988-06-01T00:00:00.000Z","2016-12-31T00:00:00.000Z","2018-10-09T11:10:02.356Z"
"47","4","BNZ","LTER1","SMEA","1988-06-01T00:00:00.000Z","2016-12-31T00:00:00.000Z","2018-10-09T11:10:02.356Z"
"47","4","BNZ","LTER1","SMIN","1988-06-01T00:00:00.000Z","2016-12-31T00:00:00.000Z","2018-10-09T11:10:02.356Z"
"47","4","BNZ","LTER1","SNOW","1989-05-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","2018-10-09T11:10:02.356Z"
"47","4","BNZ","LTER1","TMAX","1988-06-01T00:00:00.000Z","2016-12-31T00:00:00.000Z","2018-10-09T11:10:02.356Z"
"47","4","BNZ","LTER1","TMEA","1988-06-01T00:00:00.000Z","2016-12-31T00:00:00.000Z","2018-10-09T11:10:02.356Z"
"47","4","BNZ","LTER1","TMIN","1988-06-01T00:00:00.000Z","2016-12-31T00:00:00.000Z","2018-10-09T11:10:02.356Z"
"47","4","BNZ","LTER1","VAP","2004-04-01T00:00:00.000Z","2008-12-19T00:00:00.000Z","2009-10-26T00:50:45.466Z"
"47","4","BNZ","LTER1","WDIR","1994-01-01T00:00:00.000Z","2005-10-31T00:00:00.000Z","2005-12-07T16:23:45.326Z"
"47","4","BNZ","LTER1","WSP","1988-06-01T00:00:00.000Z","2016-12-31T00:00:00.000Z","2018-10-09T11:10:02.356Z"
"48","7","CWT","CS01","PREC","1937-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","2016-04-21T12:51:28.806Z"
"48","7","CWT","CS01","TMAX","1937-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","2016-04-21T12:51:28.806Z"
"48","7","CWT","CS01","TMEA","1937-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","2016-04-21T12:51:28.806Z"
"48","7","CWT","CS01","TMIN","1937-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","2016-04-21T12:51:28.806Z"
"50","17","JRN","LTERWS","DEW","1983-03-01T00:00:00.000Z","2011-12-31T00:00:00.000Z","2017-10-06T13:04:08.730Z"
"50","17","JRN","LTERWS","GRAD","1983-03-01T00:00:00.000Z","2011-12-31T00:00:00.000Z","2017-10-06T13:04:08.730Z"
"50","17","JRN","LTERWS","PREC","1983-03-01T00:00:00.000Z","2011-12-31T00:00:00.000Z","2017-10-06T13:04:08.730Z"
"50","17","JRN","LTERWS","SMEA","1983-03-01T00:00:00.000Z","2011-12-31T00:00:00.000Z","2017-10-06T13:04:08.730Z"
"50","17","JRN","LTERWS","TMAX","1983-03-01T00:00:00.000Z","2011-12-31T00:00:00.000Z","2017-10-06T13:04:08.730Z"
"50","17","JRN","LTERWS","TMEA","1983-03-01T00:00:00.000Z","2011-12-31T00:00:00.000Z","2017-10-06T13:04:08.730Z"
"50","17","JRN","LTERWS","TMIN","1983-03-01T00:00:00.000Z","2011-12-31T00:00:00.000Z","2017-10-06T13:04:08.730Z"
"50","17","JRN","LTERWS","WDIR","1983-03-01T00:00:00.000Z","2011-12-31T00:00:00.000Z","2017-10-06T13:04:08.730Z"
"50","17","JRN","LTERWS","WSP","1983-03-01T00:00:00.000Z","2011-12-31T00:00:00.000Z","2017-10-06T13:04:08.730Z"
"51","18","KBS","LTERWS","ATM","1988-01-01T00:00:00.000Z","2019-03-13T00:00:00.000Z","2019-03-13T08:30:17.396Z"
"51","18","KBS","LTERWS","GRAD","1988-01-01T00:00:00.000Z","2019-03-13T00:00:00.000Z","2019-03-13T08:30:17.396Z"
"51","18","KBS","LTERWS","PREC","1988-01-01T00:00:00.000Z","2019-03-13T00:00:00.000Z","2019-03-13T08:30:17.396Z"
"51","18","KBS","LTERWS","RH","1988-01-01T00:00:00.000Z","2019-03-13T00:00:00.000Z","2019-03-13T08:30:17.396Z"
"51","18","KBS","LTERWS","TMAX","1988-01-01T00:00:00.000Z","2019-03-13T00:00:00.000Z","2019-03-13T08:30:17.396Z"
"51","18","KBS","LTERWS","TMEA","1988-01-01T00:00:00.000Z","2019-03-13T00:00:00.000Z","2019-03-13T08:30:17.396Z"
"51","18","KBS","LTERWS","TMIN","1988-01-01T00:00:00.000Z","2019-03-13T00:00:00.000Z","2019-03-13T08:30:17.396Z"
"51","18","KBS","LTERWS","WDIR","1988-01-01T00:00:00.000Z","2019-03-13T00:00:00.000Z","2019-03-13T08:30:17.396Z"
"51","18","KBS","LTERWS","WSP","1988-01-01T00:00:00.000Z","2019-03-13T00:00:00.000Z","2019-03-13T08:30:17.396Z"
"52","19","KNZ","HQ1MET","GRAD","1982-04-22T00:00:00.000Z","2020-07-19T00:00:00.000Z","2020-07-20T16:15:30.893Z"
"52","19","KNZ","HQ1MET","PREC","1982-04-22T00:00:00.000Z","2020-07-19T00:00:00.000Z","2020-07-20T16:15:30.893Z"
