"res_site_id","res_sitetype_id"
"1","1"
"2","1"
"3","1"
"4","1"
"5","1"
"6","1"
"7","1"
"8","1"
"9","1"
"10","1"
"11","1"
"12","1"
"13","1"
"14","1"
"15","1"
"16","1"
"17","1"
"18","1"
"19","1"
"20","1"
"21","1"
"22","1"
"23","1"
"24","1"
"25","1"
"26","1"
"27","1"
"28","1"
"29","1"
"30","1"
"31","1"
"32","1"
"33","1"
"34","1"
"35","1"
"36","1"
"37","1"
"38","1"
"39","1"
"40","1"
"41","1"
"42","1"
"43","4"
"44","2"
"45","4"
"46","4"
"47","4"
"48","4"
"50","4"
"51","4"
"52","4"
"53","4"
"54","4"
"55","4"
"56","4"
"57","4"
"58","4"
"59","4"
"60","4"
"61","4"
"62","4"
"63","4"
"64","4"
"65","4"
"66","4"
"67","4"
"68","4"
"69","4"
"70","2"
"71","2"
"72","4"
"73","3"
"74","3"
"75","3"
"76","4"
"77","3"
"78","4"
"79","4"
"80","4"
"81","4"
"82","4"
"83","4"
"84","2"
"85","3"
"86","2"
"87","3"
"88","4"
"89","2"
"90","3"
"91","2"
"92","3"
"93","2"
"94","3"
"95","2"
"96","3"
"97","2"
"98","3"
"99","2"
"100","3"
"101","2"
"102","3"
"103","4"
"104","2"
"105","3"
"106","2"
"107","3"
"108","2"
"109","3"
"110","4"
"111","4"
"112","4"
"113","4"
"114","2"
"115","3"
"116","4"
"117","2"
"118","3"
"119","2"
"120","3"
"121","2"
"122","3"
"123","2"
"124","3"
"125","2"
"126","3"
"127","2"
"128","3"
"129","2"
"130","3"
"131","4"
"132","4"
"133","2"
"134","3"
"135","2"
"136","3"
"137","4"
"138","4"
"139","2"
"140","3"
"141","2"
"142","3"
"143","4"
"144","4"
"145","4"
"146","4"
"147","4"
"148","4"
"149","2"
"150","3"
"151","2"
"152","3"
"153","2"
"154","3"
"155","2"
"156","3"
"157","2"
"158","3"
"159","2"
"160","3"
"161","2"
"162","3"
"163","2"
"164","3"
"165","2"
"166","3"
"167","2"
"168","3"
"169","4"
"170","2"
"171","3"
"172","2"
"173","3"
"174","2"
"175","2"
"176","2"
"177","2"
"178","2"
"179","2"
"180","2"
"181","2"
"182","2"
"183","3"
"184","3"
"185","3"
"186","3"
"187","3"
"188","3"
"189","3"
"190","3"
"191","3"
"192","4"
"193","4"
"194","4"
"195","4"
"196","4"
"197","4"
"198","4"
"199","4"
"200","2"
"201","2"
"202","2"
"203","3"
"204","3"
"205","3"
"206","4"
"207","4"
"208","4"
"209","4"
"210","4"
"211","4"
"212","4"
"213","4"
"214","4"
"215","4"
"216","4"
"217","4"
"218","4"
"219","4"
"220","4"
"221","2"
"222","3"
"223","2"
"224","2"
"225","2"
"226","2"
"227","3"
"228","3"
"229","3"
"230","3"
"231","2"
"232","2"
"233","2"
"234","2"
"235","3"
"236","3"
"237","3"
"238","3"
"239","3"
"240","3"
"241","3"
"242","3"
"243","3"
"244","3"
"245","3"
"246","4"
"247","4"
"248","4"
"249","4"
"250","4"
"251","4"
"252","4"
"253","4"
"254","4"
"255","4"
"256","4"
"257","4"
"258","4"
"259","4"
"260","4"
"261","4"
"262","4"
"263","4"
"264","4"
"265","4"
"266","4"
"267","4"
"268","4"
"269","4"
"270","4"
"271","4"
"272","4"
"273","4"
"274","4"
"275","4"
"276","4"
"277","4"
"278","4"
"279","4"
"280","4"
"281","4"
"282","4"
"283","4"
"284","4"
"285","4"
"286","4"
"287","4"
"288","4"
"289","4"
"290","4"
"291","4"
"292","4"
"293","4"
"294","4"
"295","4"
"296","4"
"297","4"
"298","4"
"299","4"
"300","4"
"301","4"
"302","4"
"303","4"
"304","4"
"305","4"
"306","4"
"307","4"
"308","2"
"309","3"
"310","4"
"311","4"
"313","4"
"314","2"
"315","3"
"316","2"
"317","3"
"319","2"
"320","3"
"321","2"
"322","3"
"325","2"
"326","3"
"329","3"
"330","2"
"331","3"
"332","2"
"333","3"
"335","2"
"337","2"
"338","2"
"340","2"
"342","2"
"343","2"
"344","2"
"346","3"
"347","3"
"348","3"
"349","3"
"350","3"
"351","3"
"352","3"
"353","3"
"354","3"
"355","3"
"356","3"
"357","2"
"358","2"
"359","2"
"360","2"
"361","2"
"362","2"
"363","2"
"364","3"
"365","3"
"366","3"
"367","3"
"368","3"
"369","3"
"370","3"
"371","3"
"372","3"
"373","3"
"374","3"
"375","3"
"376","2"
"377","2"
"378","3"
"379","3"
"380","2"
"381","3"
"382","3"
"383","2"
"384","2"
"385","2"
"386","2"
"387","2"
"388","2"
"389","2"
"390","3"
"391","3"
"392","3"
"393","3"
"394","3"
"395","3"
"396","3"
"398","2"
"399","4"
"400","4"
"403","4"
"404","4"
"405","4"
"406","2"
"407","3"
"408","2"
"409","3"
"410","4"
"411","1"
"412","1"
"413","1"
"414","1"
