"site_id","site_code","site_name","loc1","loc2","latitude_dec","longitude_dec","hydro_data_url","clim_data_url","usgs_data_url","site_url"
"1","AND","H.J. Andrews Experimental Forest","Blue River","Oregon","44.2","-122.2","http://www.fsl.orst.edu/lter/webmast/and_hydro.txt                                                                                                                                            ","http://www.fsl.orst.edu/lter/webmast/and_clim.txt                                                                                                                                             ","http://gce-lter.marsci.uga.edu/harvest/usgs/and_lter.txt                                                                                                                                      ","http://www.fsl.orst.edu/lter/                                                                                                               "
"2","ARC","Arctic Tundra","Toolik Lake","Brooks Range","68.6","-149.6","                                                                                                                                                                                              ","http://ecosystems.mbl.edu/arc/data/arcclimatedb.dat                                                                                                                                           ","http://gce-lter.marsci.uga.edu/harvest/usgs/arc_lter.txt                                                                                                                                      ","http://ecosystems.mbl.edu/ARC/                                                                                                              "
"3","BES","Baltimore Ecosystem Study","Syracuse","New York","","","                                                                                                                                                                                              ","http://beslter.org/climdb/bes_clim.txt                                                                                                                                                        ","http://gce-lter.marsci.uga.edu/harvest/usgs/bes_lter.txt                                                                                                                                      ","http://www.beslter.org/                                                                                                                     "
"4","BNZ","Bonanza Creek Experimental Forest","Fairbanks","Alaska","64.8","-148","                                                                                                                                                                                              ","http://www.lter.uaf.edu/climdb/bnz_climate.txt                                                                                                                                                ","http://gce-lter.marsci.uga.edu/harvest/usgs/bnz_lter.txt                                                                                                                                      ","http://www.lter.uaf.edu/                                                                                                                    "
"5","CAS","Caspar Creek Experimental Watersheds","Arcata","California","","","http://www.rsl.psw.fs.fed.us/hydrodb/CAS_hydrodb.txt                                                                                                                                          ","","http://gce-lter.marsci.uga.edu/harvest/usgs/cas_lter.txt                                                                                                                                      ",""
"6","CDR","Cedar Creek Ecosystem Science Reserve","Minneapolis","Minnesota","45.4","-93.2","                                                                                                                                                                                              ","http://www.cedarcreek.umn.edu/weather/climdb/climdb.txt                                                                                                                                       ","http://gce-lter.marsci.uga.edu/harvest/usgs/cdr_lter.txt                                                                                                                                      ","http://www.cedarcreek.umn.edu                                                                                                               "
"7","CWT","Coweeta Hydrologic Laboratory","Otto","North Carolina","35","-83.5","http://sparc.ecology.uga.edu/webdocs/climdb/hydro.csv                                                                                                                                         ","http://sparc.ecology.uga.edu/webdocs/ds/online/climedb.txt                                                                                                                                    ","http://gce-lter.marsci.uga.edu/harvest/usgs/cwt_lter.txt                                                                                                                                      ","http://coweeta.ecology.uga.edu/webdocs/1/index.htm                                                                                          "
"8","ENT","Entiat Experimental Forest","Wenatchee","Washington","","","                                                                                                                                                                                              ","                                                                                                                                                                                              ","http://gce-lter.marsci.uga.edu/harvest/usgs/ent_lter.txt                                                                                                                                      ","www.fs.fed.us/pnw/wenlab/                                                                                                                   "
"9","FER","Fernow Experimental Forest","Parsons","West Virginia","","","http://www.fsl.orst.edu/lter/webmast/fer_hydro.txt                                                                                                                                            ","http://www.fs.fed.us/ne/parsons/webdata/FERhydro.txt                                                                                                                                          ","http://gce-lter.marsci.uga.edu/harvest/usgs/fer_lter.txt                                                                                                                                      ","http://www.fs.fed.us/ne/parsons                                                                                                             "
"10","FLE","Fleming Creek Watersheds","Oxford","Mississippi","","","http://www2.srs.fs.fed.us/hydrodb/FlemData.txt                                                                                                                                                ","","http://gce-lter.marsci.uga.edu/harvest/usgs/fle_lter.txt                                                                                                                                      ",""
"11","FRA","Fraser Experimental Forest","Fraser","Colorado","","","http://www.fs.fed.us/rm/fraser/fraserdata.txt                                                                                                                                                 ","                                                                                                                                                                                              ","http://gce-lter.marsci.uga.edu/harvest/usgs/fra_lter.txt                                                                                                                                      ","http://www.fs.fed.us/rm/fraser/                                                                                                             "
"12","GLA","Glacier Lakes Ecosystem Experiments Site","Ft. Collins","Colorado","","","                                                                                                                                                                                              ","                                                                                                                                                                                              ","http://gce-lter.marsci.uga.edu/harvest/usgs/gla_lter.txt                                                                                                                                      ","http://www.fs.fed.us/rm/landscapes/Locations/Glees/GLEES.shtml                                                                              "
"13","GRE","Great Basin Experimental Range","Provo","Utah","","","http://www.fs.fed.us/rm/provo/HydroDB_PowerPlant_1940-1964.txt                                                                                                                                ","                                                                                                                                                                                              ","http://gce-lter.marsci.uga.edu/harvest/usgs/gre_lter.txt                                                                                                                                      ",""
